name,symbol,currency
Bitcoin,BTC,USD
Ethereum,ETH,USD
Binance Coin,BNB,USD
Tether,USDT,USD
Cardano,ADA,USD
Polkadot,DOT,USD
XRP,XRP,USD
Uniswap,UNI,USD
Litecoin,LTC,USD
Chainlink,LINK,USD
THETA,THETA,USD
USD Coin,USDC,USD
Bitcoin Cash,BCH,USD
Stellar,XLM,USD
Terra,LUNA,USD
Wrapped Bitcoin,WBTC,USD
Dogecoin,DOGE,USD
VeChain,VET,USD
Crypto.com Coin,CRO,USD
Filecoin,FIL,USD
Aave,AAVE,USD
TRON,TRX,USD
IOTA,MIOTA,USD
Cosmos,ATOM,USD
Solana,SOL,USD
EOS,EOS,USD
Avalanche,AVAX,USD
Monero,XMR,USD
Bitcoin SV,BSV,USD
Kusama,KSM,USD
FTX Token,FTT,USD
Tezos,XTZ,USD
NEM,XEM,USD
BitTorrent,BTT,USD
Algorand,ALGO,USD
Neo,NEO,USD
Chiliz,CHZ,USD
Dai,DAI,USD
Huobi Token,HT,USD
Hedera Hashgraph,HBAR,USD
Elrond,EGLD,USD
SushiSwap,SUSHI,USD
Synthetix,SNX,USD
Dash,DASH,USD
Theta Fuel,TFUEL,USD
UNUS SED LEO,LEO,USD
The Graph,GRT,USD
Decred,DCR,USD
Maker,MKR,USD
Zilliqa,ZIL,USD
Compound,COMP,USD
Polygon,MATIC,USD
NEAR Protocol,NEAR,USD
Enjin Coin,ENJ,USD
Ravencoin,RVN,USD
Basic Attention Token,BAT,USD
Pundi X,NPXS,USD
Zcash,ZEC,USD
PancakeSwap,CAKE,USD
Harmony,ONE,USD
Decentraland,MANA,USD
Nexo,NEXO,USD
UMA,UMA,USD
Ethereum Classic,ETC,USD
Bancor,BNT,USD
SwissBorg,CHSB,USD
THORChain,RUNE,USD
yearn.finance,YFI,USD
Holo,HOT,USD
Reserve Rights,RSR,USD
ICON,ICX,USD
Celsius,CEL,USD
0x,ZRX,USD
Waves,WAVES,USD
Fantom,FTM,USD
Ren,REN,USD
Siacoin,SC,USD
Revain,REV,USD
Voyager Token,VGX,USD
Ontology,ONT,USD
DigiByte,DGB,USD
Dent,DENT,USD
OKB,OKB,USD
IOST,IOST,USD
OMG Network,OMG,USD
Paxos Standard,PAX,USD
Celo,CELO,USD
1inch,1INCH,USD
Nano,NANO,USD
Nano,NANO,USD
Qtum,QTUM,USD
Loopring,LRC,USD
Ocean Protocol,OCEAN,USD
Curve DAO Token,CRV,USD
Kyber Network,KNC,USD
Horizen,ZEN,USD
MVL,MVL,USD
Bitcoin Gold,BTG,USD
Lisk,LSK,USD
Verge,XVG,USD
Fetch.ai,FET,USD
Energy Web Token,EWT,USD
Quant,QNT,USD
Ankr,ANKR,USD
Golem,GLM,USD
Bitpanda Ecosystem Token,BEST,USD
Electroneum,ETN,USD
Celer Network,CELR,USD
StormX,STMX,USD
Augur,REP,USD
Mixin,XIN,USD
IoTeX,IOTX,USD
