Date,Open,High,Low,Close,Volume,Currency
2018-01-30,0.17,0.17,0.14,0.15,530468,USD
2018-01-31,0.15,0.15,0.13,0.14,396047,USD
2018-02-01,0.14,0.14,0.11,0.11,987262,USD
2018-02-02,0.11,0.11,0.08,0.1,1813142,USD
2018-02-03,0.1,0.12,0.09,0.11,1202114,USD
2018-02-04,0.11,0.12,0.09,0.09,1041528,USD
2018-02-05,0.09,0.09,0.06,0.07,755998,USD
2018-02-06,0.07,0.09,0.05,0.09,819464,USD
2018-02-07,0.09,0.09,0.07,0.08,890847,USD
2018-02-08,0.08,0.09,0.08,0.09,211473,USD
2018-02-09,0.09,0.1,0.09,0.1,746803,USD
2018-02-10,0.1,0.1,0.08,0.08,684667,USD
2018-02-11,0.08,0.08,0.08,0.08,292774,USD
2018-02-12,0.08,0.09,0.08,0.09,225650,USD
2018-02-13,0.09,0.09,0.08,0.08,589307,USD
2018-02-14,0.08,0.11,0.08,0.1,1367509,USD
2018-02-15,0.1,0.1,0.09,0.1,784376,USD
2018-02-16,0.1,0.12,0.09,0.12,625954,USD
2018-02-17,0.12,0.14,0.12,0.14,1070643,USD
2018-02-18,0.14,0.14,0.11,0.12,888981,USD
2018-02-19,0.12,0.13,0.12,0.13,695274,USD
2018-02-20,0.13,0.13,0.11,0.11,529886,USD
2018-02-21,0.11,0.12,0.1,0.11,478576,USD
2018-02-22,0.11,0.11,0.09,0.1,279454,USD
2018-02-23,0.1,0.12,0.09,0.11,465837,USD
2018-02-24,0.11,0.12,0.1,0.1,436383,USD
2018-02-25,0.1,0.1,0.09,0.1,280873,USD
2018-02-26,0.1,0.1,0.09,0.1,293139,USD
2018-02-27,0.1,0.11,0.1,0.11,599115,USD
2018-02-28,0.11,0.11,0.1,0.1,210822,USD
2018-03-01,0.1,0.11,0.09,0.1,255017,USD
2018-03-02,0.1,0.1,0.09,0.09,331740,USD
2018-03-03,0.09,0.09,0.09,0.09,347113,USD
2018-03-04,0.09,0.09,0.09,0.09,566723,USD
2018-03-05,0.09,0.09,0.09,0.09,446449,USD
2018-03-06,0.09,0.09,0.07,0.07,589843,USD
2018-03-07,0.07,0.08,0.06,0.07,868029,USD
2018-03-08,0.07,0.07,0.06,0.06,638680,USD
2018-03-09,0.06,0.06,0.05,0.06,367039,USD
2018-03-10,0.06,0.07,0.05,0.06,316358,USD
2018-03-11,0.06,0.06,0.05,0.06,144077,USD
2018-03-12,0.06,0.07,0.06,0.06,185566,USD
2018-03-13,0.06,0.06,0.06,0.06,161217,USD
2018-03-14,0.06,0.06,0.05,0.05,564039,USD
2018-03-15,0.05,0.05,0.05,0.05,366093,USD
2018-03-16,0.05,0.06,0.05,0.05,388434,USD
2018-03-17,0.05,0.06,0.05,0.05,293973,USD
2018-03-18,0.05,0.05,0.03,0.04,688589,USD
2018-03-19,0.04,0.05,0.04,0.05,554027,USD
2018-03-20,0.05,0.05,0.04,0.05,827130,USD
2018-03-21,0.05,0.06,0.05,0.05,586568,USD
2018-03-22,0.05,0.06,0.05,0.05,385114,USD
2018-03-23,0.05,0.05,0.05,0.05,216147,USD
2018-03-24,0.05,0.06,0.05,0.05,648715,USD
2018-03-25,0.05,0.06,0.05,0.06,455738,USD
2018-03-26,0.06,0.06,0.05,0.05,419705,USD
2018-03-27,0.05,0.06,0.05,0.05,541257,USD
2018-03-28,0.05,0.06,0.05,0.05,286409,USD
2018-03-29,0.05,0.06,0.05,0.05,580210,USD
2018-03-30,0.05,0.05,0.04,0.05,1023783,USD
2018-03-31,0.05,0.05,0.04,0.04,273355,USD
2018-04-01,0.04,0.05,0.04,0.04,468799,USD
2018-04-02,0.04,0.04,0.04,0.04,235912,USD
2018-04-03,0.04,0.05,0.04,0.04,530278,USD
2018-04-04,0.04,0.05,0.04,0.04,326538,USD
2018-04-05,0.04,0.04,0.04,0.04,352094,USD
2018-04-06,0.04,0.04,0.04,0.04,353562,USD
2018-04-07,0.04,0.04,0.04,0.04,253536,USD
2018-04-08,0.04,0.04,0.04,0.04,180027,USD
2018-04-09,0.04,0.05,0.04,0.04,292499,USD
2018-04-10,0.04,0.04,0.04,0.04,317564,USD
2018-04-11,0.04,0.04,0.04,0.04,567241,USD
2018-04-12,0.04,0.05,0.04,0.05,895619,USD
2018-04-13,0.05,0.06,0.05,0.06,1773939,USD
2018-04-14,0.06,0.06,0.05,0.05,1400423,USD
2018-04-15,0.05,0.06,0.05,0.06,378843,USD
2018-04-16,0.06,0.06,0.05,0.05,598496,USD
2018-04-17,0.05,0.07,0.05,0.06,516505,USD
2018-04-18,0.06,0.07,0.06,0.07,916781,USD
2018-04-19,0.07,0.07,0.07,0.07,1481074,USD
2018-04-20,0.07,0.08,0.04,0.07,3799131,USD
2018-04-21,0.07,0.07,0.06,0.07,3317408,USD
2018-04-22,0.07,0.08,0.07,0.07,4008584,USD
2018-04-23,0.07,0.08,0.07,0.08,3206970,USD
2018-04-24,0.08,0.09,0.07,0.08,4199256,USD
2018-04-25,0.08,0.08,0.07,0.07,2791567,USD
2018-04-26,0.07,0.08,0.06,0.07,1286388,USD
2018-04-27,0.07,0.08,0.07,0.07,1249727,USD
2018-04-28,0.07,0.08,0.07,0.08,3383989,USD
2018-04-29,0.08,0.09,0.08,0.08,2276979,USD
2018-04-30,0.08,0.09,0.08,0.08,2912765,USD
2018-05-01,0.08,0.1,0.08,0.09,4782672,USD
2018-05-02,0.09,0.1,0.09,0.09,2902842,USD
2018-05-03,0.09,0.1,0.09,0.09,2903133,USD
2018-05-04,0.09,0.1,0.09,0.1,2786102,USD
2018-05-05,0.1,0.1,0.09,0.09,1764682,USD
2018-05-06,0.09,0.09,0.08,0.09,2127217,USD
2018-05-07,0.09,0.09,0.08,0.08,1503653,USD
2018-05-08,0.08,0.08,0.08,0.08,613561,USD
