Date,Open,High,Low,Close,Volume,Currency
2018-11-19,107.67,110.42,70.41,71.97,413760,USD
2018-11-20,71.97,74.13,51.17,55.92,552350,USD
2018-11-21,55.92,59.62,51.87,54.4,263682,USD
2018-11-22,54.4,55.49,42.67,43.02,230570,USD
2018-11-23,43.38,63.58,37.59,56.87,672784,USD
2018-11-24,55.4,71.82,52.64,59.78,757292,USD
2018-11-25,59.78,99.91,56.68,92.59,1237133,USD
2018-11-26,92.59,135.3,89.79,119.52,1620284,USD
2018-11-27,119.52,129.01,86.83,98.75,899213,USD
2018-11-28,98.75,111.34,83.74,100.27,958058,USD
2018-11-29,100.28,102.47,91.63,98.93,469386,USD
2018-11-30,98.94,107.0,92.97,95.52,520836,USD
2018-12-01,95.52,96.97,88.12,93.56,348682,USD
2018-12-02,93.79,104.04,92.34,100.36,516551,USD
2018-12-03,100.36,100.84,91.53,94.92,404846,USD
2018-12-04,94.8,95.19,89.67,90.17,240807,USD
2018-12-05,90.17,93.8,84.97,86.64,292891,USD
2018-12-06,86.64,110.19,86.58,103.47,655767,USD
2018-12-07,103.45,115.46,94.1,103.35,704149,USD
2018-12-08,103.39,103.92,96.49,97.43,259804,USD
2018-12-09,97.18,99.28,91.46,96.11,268398,USD
2018-12-10,96.1,100.73,93.72,94.13,203487,USD
2018-12-11,94.14,94.29,86.37,90.35,212249,USD
2018-12-12,89.07,95.78,87.32,88.19,167780,USD
2018-12-13,88.13,88.38,76.92,78.26,236575,USD
2018-12-14,78.24,81.62,69.17,70.12,312032,USD
2018-12-15,70.12,73.76,64.15,67.82,301750,USD
2018-12-16,67.82,79.86,67.37,77.27,449109,USD
2018-12-17,77.27,81.81,74.7,81.35,445051,USD
2018-12-18,81.35,84.84,76.71,83.63,440547,USD
2018-12-19,83.63,96.34,81.65,84.93,725471,USD
2018-12-20,84.92,123.05,83.57,110.07,1356674,USD
2018-12-21,110.09,129.11,101.5,107.2,1338268,USD
2018-12-22,107.18,113.1,101.09,107.82,583800,USD
2018-12-23,107.82,112.74,103.14,105.83,480937,USD
2018-12-24,105.84,110.84,100.07,101.47,529389,USD
2018-12-25,101.49,101.49,88.16,92.2,501874,USD
2018-12-26,92.15,97.72,89.57,93.18,386759,USD
2018-12-27,93.17,96.58,82.44,83.43,314208,USD
2018-12-28,83.64,92.79,81.02,91.73,395964,USD
2018-12-29,91.73,92.31,86.35,86.69,266266,USD
2018-12-30,86.69,88.43,85.61,87.21,174445,USD
2018-12-31,87.24,87.24,83.58,84.03,152896,USD
2019-01-01,84.1,94.33,83.66,90.67,320596,USD
2019-01-02,90.88,94.18,88.73,92.97,271385,USD
2019-01-03,92.97,94.09,85.65,87.4,244818,USD
2019-01-04,87.4,88.82,84.38,86.31,220521,USD
2019-01-05,86.25,90.48,85.38,87.17,187672,USD
2019-01-06,87.16,89.77,85.7,88.44,170934,USD
2019-01-07,88.42,88.42,86.61,87.72,120120,USD
2019-01-08,87.77,88.16,85.69,86.24,138959,USD
2019-01-09,86.25,86.61,85.45,85.77,106844,USD
2019-01-10,85.77,88.33,73.59,74.41,276921,USD
2019-01-11,74.4,75.25,72.38,73.5,192509,USD
2019-01-12,73.5,83.92,73.5,81.21,499460,USD
2019-01-13,81.2,86.35,73.45,76.35,458952,USD
2019-01-14,76.35,80.91,75.01,79.02,279799,USD
2019-01-15,79.02,80.66,75.01,76.02,208228,USD
2019-01-16,76.02,78.57,75.58,76.91,187215,USD
2019-01-17,76.91,77.66,75.2,76.83,160998,USD
2019-01-18,76.83,77.55,74.38,74.97,159194,USD
2019-01-19,74.97,77.19,74.97,76.32,152953,USD
2019-01-20,77.12,77.14,73.28,74.25,141440,USD
2019-01-21,74.25,76.42,73.85,74.26,143925,USD
2019-01-22,74.22,76.28,72.09,75.34,169057,USD
2019-01-23,75.34,76.89,74.46,75.0,157878,USD
2019-01-24,75.06,76.0,73.62,74.06,126643,USD
2019-01-25,74.03,76.74,73.42,74.15,148858,USD
2019-01-26,74.15,76.31,73.29,73.43,128914,USD
2019-01-27,73.43,74.85,70.81,71.42,143339,USD
2019-01-28,71.42,71.46,62.12,64.5,242096,USD
2019-01-29,64.5,65.52,61.36,63.06,199001,USD
2019-01-30,63.06,67.75,62.52,65.94,205457,USD
2019-01-31,65.94,67.08,62.65,63.47,168993,USD
2019-02-01,63.47,64.98,63.02,64.06,164847,USD
2019-02-02,63.97,65.88,63.7,65.58,168865,USD
2019-02-03,65.58,65.73,63.35,63.83,152655,USD
2019-02-04,63.85,64.23,62.94,63.08,143527,USD
2019-02-05,63.09,63.22,60.8,61.0,166239,USD
2019-02-06,61.01,69.56,57.6,62.81,416402,USD
2019-02-07,62.81,65.98,61.06,62.5,256745,USD
2019-02-08,62.51,69.24,61.59,67.12,287926,USD
2019-02-09,67.12,67.46,65.15,65.82,181953,USD
2019-02-10,65.81,66.59,63.47,66.59,170708,USD
2019-02-11,66.6,66.89,64.82,65.05,165858,USD
2019-02-12,65.05,66.78,64.19,65.49,189814,USD
2019-02-13,65.49,65.92,64.03,64.34,163531,USD
2019-02-14,64.38,64.55,62.34,62.34,156794,USD
2019-02-15,62.34,63.34,61.61,62.25,142185,USD
2019-02-16,62.24,62.97,61.79,62.13,134135,USD
2019-02-17,62.13,63.56,61.72,62.87,191058,USD
2019-02-18,62.81,70.11,62.76,67.58,337370,USD
2019-02-19,67.58,70.78,66.59,66.59,287227,USD
2019-02-20,66.59,67.64,64.8,67.1,211348,USD
2019-02-21,67.1,67.56,64.62,65.19,182203,USD
2019-02-22,65.19,65.99,64.68,65.39,183859,USD
2019-02-23,65.39,68.55,64.86,68.55,230001,USD
2019-02-24,68.6,69.59,60.12,60.59,337157,USD
2019-02-25,60.59,71.75,60.5,67.63,453805,USD
2019-02-26,67.63,75.14,67.6,73.82,4168524,USD
2019-02-27,73.82,73.93,65.67,67.45,1711370,USD
2019-02-28,67.46,69.44,65.91,66.36,886018,USD
2019-03-01,66.36,67.96,66.01,66.41,476565,USD
2019-03-02,66.41,66.93,65.52,66.23,322817,USD
2019-03-03,66.23,66.52,64.56,64.85,407829,USD
2019-03-04,64.83,64.91,62.07,62.71,504830,USD
2019-03-05,62.71,67.11,62.66,66.32,826960,USD
2019-03-06,66.32,66.88,65.55,66.22,437547,USD
2019-03-07,66.22,66.63,65.71,66.19,371762,USD
2019-03-08,66.19,69.56,64.6,64.9,747869,USD
2019-03-09,64.9,68.26,64.84,66.41,489948,USD
2019-03-10,66.41,68.27,65.66,66.33,338871,USD
2019-03-11,66.33,66.62,64.54,64.78,462785,USD
2019-03-12,64.78,65.68,63.74,65.41,357815,USD
2019-03-13,65.41,65.63,63.98,64.28,363227,USD
2019-03-14,64.28,67.18,64.27,65.74,513552,USD
2019-03-15,65.74,68.01,65.26,67.05,503156,USD
2019-03-16,67.05,71.61,67.0,68.19,1720565,USD
2019-03-17,68.19,68.58,66.58,67.71,656011,USD
2019-03-18,67.72,69.9,65.7,66.58,1055215,USD
2019-03-19,66.58,66.8,65.41,66.22,599486,USD
2019-03-20,66.22,66.39,65.32,66.24,680653,USD
2019-03-21,66.25,68.18,63.75,65.2,1007943,USD
2019-03-22,65.2,66.85,64.96,66.15,524272,USD
2019-03-23,66.16,67.75,65.79,66.87,777011,USD
2019-03-24,66.87,66.92,65.54,65.66,563538,USD
2019-03-25,65.66,65.69,63.28,64.16,733989,USD
2019-03-26,64.15,64.94,62.92,64.01,631500,USD
2019-03-27,64.01,65.34,63.89,65.24,553583,USD
2019-03-28,65.24,65.25,63.83,63.89,544717,USD
2019-03-29,63.89,64.95,63.73,64.36,680053,USD
2019-03-30,64.36,66.61,64.36,64.97,758988,USD
2019-03-31,64.97,65.07,64.17,64.88,447543,USD
2019-04-01,64.88,66.57,64.47,65.86,814697,USD
2019-04-02,65.86,80.75,65.85,78.7,3983369,USD
2019-04-03,78.7,95.37,78.46,82.83,9734581,USD
2019-04-04,82.83,92.64,80.29,82.65,996496,USD
2019-04-05,82.65,85.72,82.22,83.81,611871,USD
2019-04-06,83.82,89.39,82.14,84.3,643643,USD
2019-04-07,84.31,87.44,83.29,85.9,609910,USD
2019-04-08,85.9,87.78,79.91,82.44,648902,USD
2019-04-09,82.44,82.45,76.57,78.04,547742,USD
2019-04-10,78.03,81.5,77.26,79.76,381653,USD
2019-04-11,79.73,84.08,68.32,71.47,625233,USD
2019-04-12,71.46,74.63,68.49,70.92,535311,USD
2019-04-13,70.94,71.56,69.02,69.49,439192,USD
2019-04-14,69.49,70.96,68.77,70.9,388146,USD
2019-04-15,70.92,74.17,58.61,59.04,1054231,USD
2019-04-16,59.04,61.45,53.81,56.83,812614,USD
2019-04-17,56.8,56.87,54.34,55.05,523300,USD
2019-04-18,55.04,62.16,54.52,59.15,755395,USD
2019-04-19,59.15,60.62,57.59,59.02,423843,USD
2019-04-20,59.02,59.27,58.18,58.41,432192,USD
2019-04-21,58.41,58.52,54.87,56.29,463531,USD
2019-04-22,56.33,59.27,55.16,57.48,333547,USD
2019-04-23,57.48,58.48,55.86,55.89,398447,USD
2019-04-24,55.89,56.07,50.25,54.13,460203,USD
2019-04-25,54.13,55.89,51.5,52.25,432539,USD
2019-04-26,52.25,56.63,51.94,54.65,453182,USD
2019-04-27,54.69,55.86,53.69,55.2,364298,USD
2019-04-28,55.16,56.06,54.43,54.79,381290,USD
2019-04-29,54.79,54.94,52.71,53.26,429650,USD
2019-04-30,53.26,54.59,52.88,54.38,365403,USD
2019-05-01,54.38,55.22,53.6,53.9,375939,USD
2019-05-02,53.82,54.27,52.96,53.52,414074,USD
2019-05-03,53.52,54.92,52.84,54.12,328797,USD
2019-05-04,54.12,54.99,52.8,53.71,348819,USD
2019-05-05,53.71,54.76,53.25,53.73,304095,USD
2019-05-06,53.73,53.74,51.82,52.79,309424,USD
2019-05-07,52.86,53.96,52.62,52.9,303766,USD
2019-05-08,52.9,59.39,52.46,59.28,458607,USD
2019-05-09,59.3,59.31,55.8,56.89,361328,USD
2019-05-10,56.89,58.72,55.69,57.71,316274,USD
2019-05-11,57.71,63.22,57.13,60.54,462154,USD
2019-05-12,60.52,64.37,56.21,57.91,379236,USD
2019-05-13,57.91,61.59,57.23,60.22,349526,USD
2019-05-14,60.19,63.86,58.55,60.19,368481,USD
2019-05-15,60.16,74.36,59.93,72.03,543971,USD
2019-05-16,71.91,75.2,63.44,64.66,1327145,USD
2019-05-17,64.66,65.45,55.91,60.59,1003938,USD
2019-05-18,60.59,61.19,59.07,59.67,481132,USD
2019-05-19,59.67,66.58,59.51,65.16,843776,USD
2019-05-20,65.16,65.16,60.33,63.0,627715,USD
2019-05-21,63.01,139.08,61.52,105.73,2493246,USD
2019-05-22,105.76,118.34,97.58,105.05,1468364,USD
2019-05-23,105.53,105.53,95.32,101.65,1019195,USD
2019-05-24,101.61,101.66,96.12,98.71,993225,USD
2019-05-25,98.71,99.22,87.63,91.96,907121,USD
2019-05-26,91.97,113.86,87.47,105.38,1264399,USD
2019-05-27,105.38,122.14,103.61,115.44,1418274,USD
2019-05-28,115.44,126.3,114.25,121.71,1064344,USD
2019-05-29,121.72,206.59,114.27,204.83,37404680,USD
2019-05-30,204.84,250.77,173.77,182.52,3257669,USD
2019-05-31,182.52,199.76,175.84,195.13,1507347,USD
2019-06-01,195.12,195.45,185.47,188.71,831428,USD
2019-06-02,188.71,192.74,183.78,190.85,716987,USD
2019-06-03,190.85,236.24,190.77,218.6,2181728,USD
2019-06-04,218.57,233.04,204.95,228.73,1665571,USD
2019-06-05,228.71,232.35,202.71,215.86,1523105,USD
2019-06-06,215.54,218.89,181.06,198.43,1519704,USD
2019-06-07,198.44,208.29,191.01,202.65,1141055,USD
2019-06-08,202.65,204.12,188.92,194.8,938459,USD
2019-06-09,194.81,197.82,184.08,185.48,1036238,USD
2019-06-10,185.48,193.37,181.08,191.6,1048383,USD
2019-06-11,191.57,191.99,181.54,185.25,774155,USD
2019-06-12,185.24,192.15,183.22,188.79,842485,USD
2019-06-13,188.8,218.16,187.4,212.51,1131737,USD
2019-06-14,212.51,214.58,202.11,214.14,891143,USD
2019-06-15,214.14,214.14,203.21,208.99,704322,USD
2019-06-16,208.99,217.75,207.39,211.39,780002,USD
2019-06-17,211.39,231.74,211.26,224.36,1005470,USD
2019-06-18,224.38,229.09,218.08,222.42,903729,USD
2019-06-19,222.4,226.99,220.57,223.78,587761,USD
2019-06-20,223.8,226.18,206.45,216.83,828692,USD
2019-06-21,216.84,224.79,213.57,221.76,926020,USD
2019-06-22,221.82,255.48,220.83,237.47,1489928,USD
2019-06-23,237.49,245.8,221.73,237.85,991258,USD
2019-06-24,237.84,240.65,229.01,235.69,806284,USD
2019-06-25,235.71,247.18,233.93,237.0,887116,USD
2019-06-26,237.0,250.19,195.36,222.97,1727823,USD
2019-06-27,222.98,226.67,183.4,199.16,1616326,USD
2019-06-28,199.16,227.54,196.79,209.94,1150353,USD
2019-06-29,209.94,214.78,204.48,213.87,815025,USD
2019-06-30,213.87,217.99,194.64,195.26,888865,USD
2019-07-01,195.24,204.11,186.42,197.72,853147,USD
2019-07-02,197.68,198.97,184.06,195.92,794498,USD
2019-07-03,196.24,204.95,196.07,202.94,820115,USD
