Date,Open,High,Low,Close,Volume,Currency
2019-09-24,0.0054,0.0057,0.004,0.0043,164374048,USD
2019-09-25,0.0043,0.0046,0.0039,0.0044,181828048,USD
2019-09-26,0.0044,0.005,0.0041,0.0043,164590272,USD
2019-09-27,0.0043,0.0044,0.0038,0.0041,173384432,USD
2019-09-28,0.0041,0.0043,0.0041,0.0042,175810848,USD
2019-09-29,0.0042,0.0044,0.004,0.0042,177440032,USD
2019-09-30,0.0041,0.0043,0.004,0.0042,172344688,USD
2019-10-01,0.0042,0.0048,0.0042,0.0047,176222848,USD
2019-10-02,0.0047,0.0047,0.0043,0.0045,133185032,USD
2019-10-03,0.0044,0.0046,0.0043,0.0044,150309920,USD
2019-10-04,0.0044,0.0046,0.0041,0.0043,139573008,USD
2019-10-05,0.0043,0.0045,0.0042,0.0044,150653120,USD
2019-10-06,0.0044,0.0045,0.0043,0.0044,144304288,USD
2019-10-07,0.0044,0.005,0.0043,0.0049,152345312,USD
2019-10-08,0.0049,0.0051,0.0047,0.005,161759344,USD
2019-10-09,0.005,0.0052,0.0048,0.005,134749888,USD
2019-10-10,0.005,0.0052,0.0048,0.005,103828552,USD
2019-10-11,0.005,0.005,0.0047,0.0049,94223224,USD
2019-10-12,0.0049,0.0051,0.0049,0.005,88693912,USD
2019-10-13,0.005,0.0051,0.0049,0.0049,83031152,USD
2019-10-14,0.0049,0.0053,0.0049,0.0053,59679192,USD
2019-10-15,0.0053,0.0067,0.0052,0.0058,54506296,USD
2019-10-16,0.0057,0.0068,0.0056,0.0067,69119096,USD
2019-10-17,0.0066,0.0071,0.0063,0.0066,70811240,USD
2019-10-18,0.0066,0.009,0.0065,0.0084,59803192,USD
2019-10-19,0.0084,0.0094,0.0068,0.0075,48584208,USD
2019-10-20,0.0075,0.0104,0.0074,0.0099,51168912,USD
2019-10-21,0.0099,0.0106,0.0083,0.0093,35101224,USD
2019-10-22,0.0093,0.0099,0.0086,0.0094,47080520,USD
2019-10-23,0.0094,0.0094,0.0062,0.0085,44842608,USD
2019-10-24,0.0085,0.0086,0.008,0.0083,25805836,USD
2019-10-25,0.0083,0.0114,0.0078,0.0106,22791350,USD
2019-10-26,0.0106,0.0122,0.0097,0.0106,17409804,USD
2019-10-27,0.0106,0.0114,0.01,0.0102,18289552,USD
2019-10-28,0.0102,0.0103,0.0095,0.0095,20248124,USD
2019-10-29,0.0095,0.0115,0.0095,0.011,20257128,USD
2019-10-30,0.011,0.0117,0.0104,0.0107,23138290,USD
2019-10-31,0.0107,0.0115,0.0103,0.0108,16063596,USD
2019-11-01,0.0109,0.0117,0.0104,0.0117,19301188,USD
2019-11-02,0.0117,0.0155,0.0116,0.0138,18613650,USD
2019-11-03,0.0138,0.0169,0.0126,0.016,15928060,USD
2019-11-04,0.016,0.0193,0.0151,0.0173,11883234,USD
2019-11-05,0.0173,0.02,0.0149,0.0157,11716692,USD
2019-11-06,0.0157,0.017,0.0145,0.0146,6928246,USD
2019-11-07,0.014,0.0157,0.0128,0.014,16217042,USD
2019-11-08,0.0143,0.0146,0.0122,0.0127,16167044,USD
2019-11-09,0.0127,0.0139,0.0124,0.0134,14957506,USD
2019-11-10,0.0134,0.0137,0.0124,0.0132,14973270,USD
2019-11-11,0.0132,0.0137,0.0127,0.0129,17386122,USD
2019-11-12,0.0129,0.014,0.0127,0.0136,13474970,USD
2019-11-13,0.0137,0.015,0.0133,0.0145,14402452,USD
2019-11-14,0.0145,0.0148,0.0137,0.0145,11550458,USD
2019-11-15,0.0145,0.0146,0.0131,0.0136,1307800,USD
2019-11-16,0.0136,0.014,0.0135,0.0137,1951792,USD
2019-11-17,0.0138,0.0143,0.0136,0.0138,6515236,USD
2019-11-18,0.0138,0.014,0.0125,0.013,6328850,USD
2019-11-19,0.0129,0.0137,0.0119,0.0125,12222752,USD
2019-11-20,0.0124,0.0126,0.0119,0.012,15083206,USD
