Date,Open,High,Low,Close,Volume,Currency
2017-03-04,47.85,75.58,43.33,43.79,44055,USD
2017-03-05,43.79,44.97,40.0,42.77,23845,USD
2017-03-06,42.77,47.58,42.77,46.38,19303,USD
2017-03-07,46.38,46.89,43.54,45.93,6507,USD
2017-03-08,45.93,45.93,42.0,42.5,5779,USD
2017-03-09,42.5,53.97,41.4,51.66,37386,USD
2017-03-10,51.66,56.99,43.0,50.24,24511,USD
2017-03-11,50.24,74.18,50.0,72.0,80175,USD
2017-03-12,72.0,80.99,64.5,78.0,37156,USD
2017-03-13,78.0,82.1,69.23,75.0,57277,USD
2017-03-14,75.0,93.27,73.01,88.7,104009,USD
2017-03-15,88.7,105.42,85.51,96.85,270150,USD
2017-03-16,96.85,99.45,79.34,89.0,202692,USD
2017-03-17,89.0,99.1,79.6,96.0,142654,USD
2017-03-18,96.0,115.0,91.63,107.91,308123,USD
2017-03-19,107.91,112.13,96.0,104.99,143080,USD
2017-03-20,104.99,109.99,98.0,98.15,67116,USD
2017-03-21,98.15,103.0,89.45,95.0,165446,USD
2017-03-22,95.0,108.0,88.91,101.1,114699,USD
2017-03-23,101.1,103.02,97.5,101.52,22781,USD
2017-03-24,101.52,107.79,85.01,94.4,137827,USD
2017-03-25,94.4,99.84,86.1,93.15,64378,USD
2017-03-26,93.15,95.71,90.0,93.93,35963,USD
2017-03-27,93.93,93.93,76.26,84.32,183428,USD
2017-03-28,84.32,90.0,80.28,86.92,46396,USD
2017-03-29,86.92,87.6,82.0,84.4,86951,USD
2017-03-30,84.4,85.0,75.6,78.78,106596,USD
2017-03-31,78.78,78.78,64.8,72.45,289705,USD
2017-04-01,72.45,72.8,66.5,68.23,62877,USD
2017-04-02,68.23,70.47,53.8,57.0,217498,USD
2017-04-03,57.0,68.2,47.53,63.87,339730,USD
2017-04-04,63.87,72.22,56.51,69.49,176299,USD
2017-04-05,69.49,79.0,65.48,75.39,127159,USD
2017-04-06,75.39,75.5,65.2,67.09,88715,USD
2017-04-07,67.09,71.2,65.0,67.4,51615,USD
2017-04-08,67.4,70.9,66.62,68.49,43775,USD
2017-04-09,68.49,69.99,65.78,66.38,32088,USD
2017-04-10,66.38,67.0,60.55,62.89,54695,USD
2017-04-11,62.89,64.29,60.45,62.0,57837,USD
2017-04-12,62.0,69.89,60.51,69.67,125210,USD
2017-04-13,69.67,77.77,66.96,73.5,142694,USD
2017-04-14,73.5,74.79,70.1,72.72,73142,USD
2017-04-15,72.72,80.0,71.02,76.79,67911,USD
2017-04-16,76.79,78.77,75.81,77.06,29148,USD
2017-04-17,77.06,79.31,75.53,78.2,26684,USD
2017-04-18,78.2,78.9,73.11,75.66,37621,USD
2017-04-19,75.66,78.97,74.75,74.9,15159,USD
2017-04-20,74.9,76.5,74.05,75.7,17657,USD
