Date,Open,High,Low,Close,Volume,Currency
2018-01-18,95.51,119.1426,76.0,85.814,27,USD
2018-01-19,85.814,107.5205,76.0,89.0005,47,USD
2018-01-20,89.0005,124.9999,89.0005,107.3217,25,USD
2018-01-21,107.3217,121.5331,92.5,96.0711,24,USD
2018-01-22,96.0711,107.0,94.0,106.3193,14,USD
2018-01-23,106.3193,106.3193,89.0,93.0,15,USD
2018-01-24,93.0,100.0,90.0,95.0,98,USD
2018-01-25,95.0,99.5,90.1454,92.0006,16,USD
2018-01-26,92.0006,98.88,78.101,91.0,71,USD
2018-01-27,91.0,94.1,88.5,94.1,33,USD
2018-01-28,94.1,97.41,89.0,94.0,19,USD
2018-01-29,94.0,106.4802,89.0,106.4802,97,USD
2018-01-30,97.8261,113.3975,94.0,94.1,58,USD
2018-01-31,94.1,103.5,89.0445,99.8101,41,USD
2018-02-01,99.8101,108.0,81.0,88.0476,54,USD
2018-02-02,82.0476,94.0,71.0,79.2,121,USD
2018-02-03,79.2,90.0,72.0293,87.0,59,USD
2018-02-04,87.0,90.0,66.0,82.8,22,USD
2018-02-05,82.8,82.8,55.0,63.0,74,USD
2018-02-06,63.0,73.4937,49.11,71.0,76,USD
2018-02-07,71.0,77.0,63.0,68.6,58,USD
2018-02-08,68.6,79.0,68.6,77.0,35,USD
2018-02-09,77.0,81.0836,70.0,81.0836,27,USD
2018-02-10,81.0836,82.8,72.0,72.0,16,USD
2018-02-11,72.0,76.899,68.5,70.1,19,USD
2018-02-12,70.1,78.3117,70.1,78.3117,21,USD
2018-02-13,78.3117,78.3117,72.0632,74.5,17,USD
2018-02-14,74.5,95.0,72.0632,79.49,317,USD
2018-02-15,79.49,90.0,79.49,90.0,42,USD
2018-02-16,90.0,90.0,80.0,89.0,32,USD
2018-02-17,89.0,98.28,89.0,94.9698,39,USD
2018-02-18,94.9698,95.0,85.0001,87.0,32,USD
2018-02-19,87.0,92.0,85.0001,86.2153,7,USD
2018-02-20,86.2153,87.215,82.65,82.65,73,USD
2018-02-21,82.65,82.65,75.0,76.0,156,USD
2018-02-22,76.0,78.0,69.0004,69.4003,22,USD
2018-02-23,69.4003,78.3932,69.4003,78.3932,2,USD
2018-02-24,78.3932,78.3932,70.0,72.5,38,USD
2018-02-25,72.5,82.2035,70.008,70.0081,117,USD
2018-02-26,70.0081,78.0339,70.0081,74.0,18,USD
2018-02-27,74.0,79.0,74.0,74.6001,16,USD
2018-02-28,74.6001,79.0,74.0,74.5,14,USD
2018-03-01,74.5,82.2035,71.2003,81.0,123,USD
2018-03-02,81.0,84.926,75.0001,78.0781,59,USD
2018-03-03,78.0781,85.0,78.0781,85.0,4,USD
2018-03-04,85.0,85.0,78.1005,78.1005,6,USD
2018-03-05,78.1005,84.2,78.1005,84.2,13,USD
2018-03-06,84.2,84.2,75.0,75.0,14,USD
2018-03-07,75.0,84.0,70.0,84.0,31,USD
2018-03-08,84.0,84.0,67.0,70.0,40,USD
2018-03-09,70.0,70.0,54.0,61.2,90,USD
2018-03-10,61.2,65.4496,59.0,59.0003,13,USD
2018-03-11,59.0003,69.704,59.0003,62.0,3,USD
2018-03-12,62.0,67.2189,58.2764,58.2764,5,USD
2018-03-13,58.2764,63.0,56.8528,59.0,5,USD
2018-03-14,59.0,61.6,52.0,52.0,21,USD
