Date,Open,High,Low,Close,Volume,Currency
2017-07-02,1.14,3.3,0.9406,2.91,5342616,USD
2017-07-03,2.91,5.48,2.41,4.02,6582566,USD
2017-07-04,4.02,4.2,2.55,3.12,7564758,USD
2017-07-05,3.12,3.31,2.6,2.83,3907554,USD
2017-07-06,2.83,3.53,2.82,3.25,4594848,USD
2017-07-07,3.25,3.32,2.6,2.66,4027722,USD
2017-07-08,2.66,2.76,2.01,2.4,5977304,USD
2017-07-09,2.4,2.55,2.12,2.21,3708160,USD
2017-07-10,2.21,2.28,1.23,1.6,7103406,USD
2017-07-11,1.6,1.78,1.36,1.5,9768746,USD
2017-07-12,1.5,2.05,1.4,1.99,5789602,USD
2017-07-13,1.99,1.99,1.6,1.64,3170952,USD
2017-07-14,1.64,1.7,1.45,1.52,3534910,USD
2017-07-15,1.52,1.53,1.29,1.3,5004764,USD
2017-07-16,1.3,1.33,1.13,1.24,4719668,USD
2017-07-17,1.24,1.58,1.22,1.56,5849010,USD
2017-07-18,1.56,1.73,1.46,1.65,4925434,USD
2017-07-19,1.65,1.77,1.45,1.49,4427542,USD
2017-07-20,1.49,1.75,1.49,1.72,3231414,USD
2017-07-21,1.72,2.0,1.67,1.8,3919276,USD
2017-07-22,1.8,2.1,1.77,2.03,3388088,USD
2017-07-23,2.03,2.14,1.8,1.93,4255722,USD
2017-07-24,1.93,1.99,1.8,1.88,2751674,USD
2017-07-25,1.88,1.9,1.55,1.65,3732786,USD
2017-07-26,1.65,1.71,1.48,1.7,3609946,USD
2017-07-27,1.7,1.98,1.69,1.92,3353014,USD
2017-07-28,1.92,1.99,1.8,1.81,3122042,USD
2017-07-29,1.81,1.87,1.6,1.83,3461040,USD
2017-07-30,1.83,1.85,1.67,1.78,1730494,USD
2017-07-31,1.78,1.78,1.63,1.7,2443234,USD
2017-08-01,1.7,1.81,1.65,1.78,3609424,USD
2017-08-02,1.78,1.8,1.67,1.74,2434346,USD
2017-08-03,1.74,1.78,1.7,1.78,1466740,USD
2017-08-04,1.78,1.84,1.74,1.76,2286128,USD
2017-08-05,1.76,2.0,1.73,1.85,4470128,USD
