Date,Open,High,Low,Close,Volume,Currency
2020-07-14,0.01,0.02,0.01,0.01,962914432,USD
2020-07-15,0.01,0.02,0.01,0.02,989002240,USD
2020-07-16,0.02,0.02,0.02,0.02,1011651200,USD
2020-07-17,0.02,0.02,0.01,0.01,879522624,USD
2020-07-18,0.01,0.02,0.01,0.02,626689408,USD
2020-07-19,0.02,0.02,0.01,0.01,850046528,USD
2020-07-20,0.01,0.01,0.01,0.01,779306624,USD
2020-07-21,0.01,0.02,0.01,0.02,1696220160,USD
2020-07-22,0.02,0.02,0.02,0.02,889109696,USD
2020-07-23,0.02,0.02,0.02,0.02,540914816,USD
2020-07-24,0.02,0.02,0.02,0.02,373790624,USD
2020-07-25,0.02,0.02,0.02,0.02,765379776,USD
2020-07-26,0.02,0.02,0.02,0.02,1899484928,USD
2020-07-27,0.02,0.03,0.02,0.03,3093464064,USD
2020-07-28,0.03,0.03,0.02,0.03,1109127680,USD
2020-07-29,0.03,0.03,0.03,0.03,798939072,USD
2020-07-30,0.03,0.03,0.02,0.02,1471148032,USD
2020-07-31,0.02,0.02,0.02,0.02,804335424,USD
2020-08-01,0.02,0.02,0.02,0.02,2032074240,USD
2020-08-02,0.02,0.02,0.02,0.02,879591680,USD
2020-08-03,0.02,0.02,0.02,0.02,486102848,USD
2020-08-04,0.02,0.02,0.02,0.02,331724160,USD
2020-08-05,0.02,0.02,0.02,0.02,393348320,USD
2020-08-06,0.02,0.02,0.02,0.02,361937568,USD
2020-08-07,0.02,0.02,0.02,0.02,1214651520,USD
2020-08-08,0.02,0.02,0.02,0.02,497975104,USD
2020-08-09,0.02,0.02,0.02,0.02,359766528,USD
2020-08-10,0.02,0.02,0.02,0.02,767874944,USD
2020-08-11,0.02,0.02,0.02,0.02,459847456,USD
2020-08-12,0.02,0.02,0.02,0.02,442589248,USD
2020-08-13,0.02,0.02,0.02,0.02,309864320,USD
2020-08-14,0.02,0.02,0.02,0.02,366708512,USD
2020-08-15,0.02,0.02,0.02,0.02,296662688,USD
2020-08-16,0.02,0.02,0.02,0.02,231111472,USD
2020-08-17,0.02,0.02,0.02,0.02,429489696,USD
2020-08-18,0.02,0.02,0.02,0.02,429038496,USD
2020-08-19,0.02,0.02,0.02,0.02,339104512,USD
2020-08-20,0.02,0.02,0.02,0.02,343877312,USD
2020-08-21,0.02,0.02,0.02,0.02,246266560,USD
2020-08-22,0.02,0.02,0.02,0.02,253856608,USD
2020-08-23,0.02,0.02,0.02,0.02,253644048,USD
2020-08-24,0.02,0.02,0.02,0.02,257758720,USD
2020-08-25,0.02,0.02,0.02,0.02,250899760,USD
2020-08-26,0.02,0.02,0.02,0.02,146147792,USD
2020-08-27,0.02,0.02,0.02,0.02,140518528,USD
2020-08-28,0.02,0.02,0.02,0.02,1030500992,USD
2020-08-29,0.02,0.02,0.02,0.02,339912256,USD
2020-08-30,0.02,0.02,0.02,0.02,261081888,USD
2020-08-31,0.02,0.02,0.02,0.02,239556336,USD
2020-09-01,0.02,0.02,0.02,0.02,0,USD
2020-09-02,0.02,0.02,0.02,0.02,0,USD
2020-09-03,0.02,0.02,0.02,0.02,0,USD
2020-09-04,0.02,0.02,0.02,0.02,0,USD
2020-09-05,0.02,0.02,0.02,0.02,0,USD
2020-09-06,0.02,0.02,0.02,0.02,0,USD
2020-09-07,0.02,0.02,0.02,0.02,0,USD
2020-09-08,0.02,0.02,0.02,0.02,0,USD
2020-09-09,0.02,0.02,0.02,0.02,0,USD
2020-09-10,0.02,0.02,0.02,0.02,0,USD
2020-09-11,0.02,0.02,0.02,0.02,0,USD
2020-09-12,0.02,0.02,0.02,0.02,0,USD
2020-09-13,0.02,0.02,0.02,0.02,0,USD
2020-09-14,0.02,0.02,0.02,0.02,0,USD
2020-09-15,0.02,0.02,0.02,0.02,0,USD
2020-09-16,0.02,0.02,0.02,0.02,0,USD
2020-09-17,0.02,0.02,0.02,0.02,0,USD
2020-09-18,0.02,0.02,0.02,0.02,0,USD
2020-09-19,0.02,0.02,0.02,0.02,0,USD
2020-10-05,8.2,8.45,8.2,8.45,383502,USD
2020-10-06,8.46,8.46,6.93,6.93,463621,USD
2020-10-07,6.93,7.79,6.74,7.79,408280,USD
2020-10-08,7.8,7.8,7.25,7.5,421919,USD
2020-10-09,7.48,8.01,7.47,7.91,342420,USD
2020-10-10,7.91,8.01,7.77,7.77,201360,USD
2020-10-11,7.76,8.19,7.66,8.17,208123,USD
2020-10-12,8.16,8.16,7.86,8.01,205099,USD
2020-10-13,8.02,8.1,7.91,7.94,159403,USD
2020-10-14,7.95,7.99,7.86,7.99,218088,USD
2020-10-15,7.99,7.99,7.8,7.9,160535,USD
2020-10-16,7.9,7.9,7.37,7.4,232532,USD
2020-10-17,7.39,7.64,7.38,7.64,110992,USD
2020-10-18,7.64,7.72,7.58,7.61,90013,USD
2020-10-19,7.61,7.61,7.31,7.31,171881,USD
2020-10-20,7.31,7.31,6.65,7.06,381990,USD
2020-10-21,7.07,7.46,7.07,7.46,241080,USD
2020-10-22,7.45,7.83,7.39,7.72,185771,USD
2020-10-23,7.72,8.86,7.72,8.86,557930,USD
2020-10-24,8.87,9.79,8.65,8.81,1007351,USD
2020-10-25,8.81,9.46,8.53,9.25,709290,USD
2020-10-26,9.25,9.45,8.61,8.63,554543,USD
2020-10-27,8.64,8.74,8.46,8.58,408845,USD
2020-10-28,8.57,8.57,7.87,7.87,442633,USD
2020-10-29,7.85,7.97,7.37,7.37,370943,USD
2020-10-30,7.39,7.62,7.32,7.62,373019,USD
2020-10-31,7.63,7.63,7.29,7.34,214043,USD
2020-11-01,7.34,7.75,7.32,7.67,205395,USD
2020-11-02,7.68,7.69,7.3,7.31,238781,USD
2020-11-03,7.3,7.36,7.24,7.24,189934,USD
2020-11-04,7.26,7.26,7.07,7.17,174598,USD
2020-11-05,7.17,7.48,7.02,7.37,284707,USD
2020-11-06,7.39,8.38,7.39,8.38,342308,USD
2020-11-07,8.39,8.46,7.76,7.85,694214,USD
2020-11-08,7.86,8.34,7.85,8.34,327111,USD
2020-11-09,8.34,8.4,8.08,8.12,257590,USD
2020-11-10,8.14,8.61,8.08,8.6,292802,USD
2020-11-11,8.6,8.6,7.79,7.79,422098,USD
2020-11-12,7.79,7.86,7.42,7.49,236524,USD
2020-11-13,7.49,7.81,7.47,7.78,213182,USD
2020-11-14,7.77,7.78,7.36,7.48,192193,USD
2020-11-15,7.49,7.68,7.44,7.58,220651,USD
2020-11-16,7.58,7.88,7.58,7.71,225618,USD
2020-11-17,7.71,7.87,7.71,7.85,288679,USD
2020-11-18,7.86,7.86,7.18,7.49,458079,USD
2020-11-19,7.5,7.64,7.28,7.59,261737,USD
2020-11-20,7.59,7.96,7.59,7.62,277788,USD
2020-11-21,7.62,8.24,7.62,8.22,569837,USD
2020-11-22,8.26,8.26,7.85,8.04,525215,USD
2020-11-23,8.05,9.17,8.0,9.07,742249,USD
2020-11-24,9.09,9.12,8.59,9.05,773584,USD
2020-11-25,9.05,10.11,8.85,9.72,1234160,USD
2020-11-26,9.64,9.79,8.65,9.13,1512891,USD
2020-11-27,9.14,9.14,8.79,8.85,419350,USD
2020-11-28,8.85,8.98,8.6,8.81,361764,USD
2020-11-29,8.79,9.07,8.79,8.92,269740,USD
