Date,Open,High,Low,Close,Volume,Currency
2018-01-30,25.22,25.6,24.21,24.9,9830,USD
2018-01-31,24.9,25.54,23.98,25.35,8275,USD
2018-02-01,25.35,25.69,23.46,24.04,9034,USD
2018-02-02,24.04,24.7,22.5,24.7,7970,USD
2018-02-03,24.7,25.19,23.53,23.93,7616,USD
2018-02-04,23.93,24.69,21.8,22.43,13085,USD
2018-02-05,22.43,22.43,19.0,20.33,11030,USD
2018-02-06,20.33,22.5,16.0,22.39,10665,USD
2018-02-07,22.39,22.73,19.0,19.07,10275,USD
2018-02-08,19.07,21.61,19.0,20.51,9529,USD
2018-02-09,20.51,21.0,19.5,20.35,8748,USD
2018-02-10,20.35,21.51,20.14,20.47,10514,USD
2018-02-11,20.47,20.47,19.38,20.44,3115,USD
2018-02-12,20.44,21.02,19.74,19.89,2597,USD
2018-02-13,19.89,20.75,19.57,20.74,3889,USD
2018-02-14,20.74,21.32,19.81,21.32,4756,USD
2018-02-15,20.93,22.49,20.92,22.24,4438,USD
2018-02-16,22.24,22.24,21.0,22.18,2022,USD
2018-02-17,22.18,22.4,21.75,22.24,3085,USD
2018-02-18,22.24,23.59,21.1,22.17,4368,USD
2018-02-19,22.17,23.0,21.5,22.99,4977,USD
2018-02-20,22.99,23.19,21.49,21.49,4854,USD
2018-02-21,21.49,21.61,19.88,19.88,4511,USD
2018-02-22,19.88,21.69,18.48,19.7,6547,USD
2018-02-23,19.7,19.97,18.7,19.57,5937,USD
2018-02-24,19.57,19.94,18.26,18.7,5004,USD
2018-02-25,18.7,19.26,17.4,18.32,3364,USD
2018-02-26,18.32,19.21,17.08,18.48,8263,USD
2018-02-27,18.48,19.21,18.08,19.21,4937,USD
2018-02-28,19.21,19.55,18.4,18.77,7383,USD
2018-03-01,18.77,19.55,17.82,19.05,5055,USD
2018-03-02,19.05,20.32,18.0,18.34,5290,USD
2018-03-03,18.34,18.74,17.84,18.27,4696,USD
2018-03-04,18.27,18.74,17.58,18.07,2633,USD
2018-03-05,18.07,18.75,17.4,18.52,3421,USD
2018-03-06,18.52,18.52,16.87,16.87,7754,USD
2018-03-07,16.87,17.3,15.32,15.32,4975,USD
2018-03-08,15.32,15.9,13.02,13.37,8985,USD
2018-03-09,13.37,14.26,12.19,14.18,5252,USD
2018-03-10,14.18,14.26,13.11,13.11,2780,USD
2018-03-11,13.11,14.26,12.9,14.17,3287,USD
2018-03-12,14.17,14.26,13.5,13.5,2781,USD
2018-03-13,13.5,14.03,13.08,13.48,2794,USD
2018-03-14,13.48,13.5,11.92,12.94,5571,USD
2018-03-15,12.94,12.97,11.43,11.63,6902,USD
2018-03-16,11.63,12.94,11.63,12.0,6332,USD
2018-03-17,12.0,12.41,10.0,10.71,7436,USD
2018-03-18,10.71,10.72,6.01,9.47,16791,USD
2018-03-19,9.47,10.22,8.2,9.22,8441,USD
2018-03-20,9.22,9.29,8.81,9.16,15962,USD
2018-03-21,9.16,11.08,9.1,9.3,67766,USD
2018-03-22,9.3,9.98,9.03,9.41,31324,USD
2018-03-23,9.41,9.49,9.0,9.27,12808,USD
2018-03-24,9.27,9.58,9.23,9.48,10046,USD
2018-03-25,9.48,9.48,9.11,9.14,7945,USD
2018-03-26,9.14,9.42,8.4,8.61,13484,USD
2018-03-27,8.61,9.07,8.5,9.0,4061,USD
2018-03-28,9.0,9.35,8.8,8.85,3819,USD
2018-03-29,8.85,9.34,8.56,8.6,7578,USD
2018-03-30,8.6,9.23,8.55,9.1,9138,USD
2018-03-31,9.0,9.18,8.75,8.92,7233,USD
2018-04-01,8.92,9.12,8.0,8.81,8161,USD
2018-04-02,8.81,9.18,8.53,8.93,4749,USD
2018-04-03,8.93,9.24,8.92,9.07,5417,USD
2018-04-04,9.07,9.21,8.76,8.8,7725,USD
2018-04-05,8.8,8.9,8.61,8.9,2692,USD
2018-04-06,8.9,9.01,8.65,8.98,1706,USD
2018-04-07,8.98,9.77,8.81,9.34,6678,USD
2018-04-08,9.34,10.52,9.06,10.19,8320,USD
2018-04-09,10.05,13.03,10.0,11.49,23122,USD
2018-04-10,11.49,11.5,10.52,11.19,14005,USD
2018-04-11,11.19,11.7,10.3,10.96,22757,USD
2018-04-12,10.96,13.59,10.96,13.12,26130,USD
2018-04-13,13.12,13.56,12.45,12.86,19067,USD
2018-04-14,12.86,13.58,12.33,13.35,25799,USD
2018-04-15,13.35,17.2,13.27,14.78,49201,USD
2018-04-16,14.78,14.83,13.49,13.98,25157,USD
2018-04-17,13.98,14.96,13.98,14.44,15585,USD
2018-04-18,14.44,16.65,14.44,16.46,88578,USD
2018-04-19,16.5,18.93,16.28,18.55,36326,USD
2018-04-20,18.55,18.9,12.42,18.44,29942,USD
2018-04-21,18.44,18.75,15.52,16.5,35280,USD
2018-04-22,16.5,17.46,15.88,15.89,31125,USD
2018-04-23,15.89,16.96,15.85,16.47,17207,USD
2018-04-24,16.47,17.55,15.64,16.82,77548,USD
2018-04-25,16.82,16.82,14.95,15.38,26333,USD
2018-04-26,15.38,16.49,14.88,16.05,20289,USD
2018-04-27,16.05,16.69,15.24,15.31,52072,USD
2018-04-28,15.31,17.18,15.24,16.92,35347,USD
2018-04-29,16.92,17.67,15.46,17.44,48809,USD
2018-04-30,17.44,17.6,16.3,16.45,25489,USD
2018-05-01,16.45,16.45,15.0,16.03,33506,USD
2018-05-02,16.03,16.03,15.26,15.7,27199,USD
2018-05-03,15.7,15.91,14.73,15.36,42638,USD
2018-05-04,15.0,15.89,0.0,15.46,26280,USD
2018-05-05,15.46,16.39,15.16,15.55,32820,USD
2018-05-06,15.55,16.89,14.5,15.3,42191,USD
2018-05-07,15.3,15.43,14.28,14.74,20716,USD
2018-05-08,15.29,15.59,14.45,14.76,25323,USD
2018-05-09,14.76,14.76,13.95,14.27,19998,USD
2018-05-10,14.28,15.5,13.82,14.53,23453,USD
2018-05-11,14.53,14.83,12.94,13.4,20629,USD
2018-05-12,13.4,13.98,10.88,13.11,34728,USD
2018-05-13,13.11,13.73,12.8,13.45,9477,USD
2018-05-14,13.45,14.34,12.76,14.09,15329,USD
2018-05-15,14.09,14.5,13.34,13.52,12293,USD
2018-05-16,13.52,13.52,12.6,13.1,6195,USD
2018-05-17,13.1,14.02,12.95,13.11,9230,USD
2018-05-18,13.48,13.55,12.19,13.5,8006,USD
2018-05-19,13.5,13.97,12.41,13.79,14696,USD
2018-05-20,13.79,13.99,13.38,13.99,6275,USD
2018-05-21,13.99,14.05,12.93,13.23,9814,USD
2018-05-22,13.23,13.45,12.5,12.65,17620,USD
2018-05-23,12.5,12.94,10.6,10.92,23450,USD
2018-05-24,10.92,11.98,10.92,11.79,17588,USD
2018-05-25,11.86,11.92,11.4,11.66,7390,USD
2018-05-26,11.66,11.88,11.19,11.56,6721,USD
2018-05-27,11.56,11.77,11.44,11.53,7545,USD
2018-05-28,11.53,11.69,10.87,10.87,9361,USD
2018-05-29,10.92,11.88,10.68,11.35,6944,USD
2018-05-30,11.35,11.8,11.3,11.33,10186,USD
2018-05-31,11.33,11.92,11.3,11.4,7004,USD
2018-06-01,11.44,12.1,11.44,11.95,8533,USD
2018-06-02,11.95,12.5,11.63,12.15,13638,USD
2018-06-03,12.15,12.26,11.8,12.05,8512,USD
2018-06-04,12.05,12.2,10.89,11.69,10306,USD
2018-06-05,11.72,11.95,11.0,11.69,5603,USD
2018-06-06,11.63,11.88,11.15,11.43,4111,USD
2018-06-07,11.43,11.83,11.18,11.61,10904,USD
2018-06-08,11.48,11.65,11.26,11.35,4764,USD
2018-06-09,11.35,11.65,11.1,11.21,9657,USD
2018-06-10,11.21,11.26,9.98,10.19,13896,USD
2018-06-11,10.19,10.32,9.62,10.13,9724,USD
2018-06-12,10.13,10.6,9.15,9.15,12866,USD
2018-06-13,9.15,11.56,9.15,9.75,23853,USD
2018-06-14,9.75,10.17,9.51,9.93,46419,USD
2018-06-15,9.93,10.1,9.51,9.72,7314,USD
2018-06-16,9.72,10.0,9.56,9.66,2284,USD
2018-06-17,9.66,9.92,9.66,9.75,1281,USD
2018-06-18,9.75,9.92,9.64,9.86,3497,USD
2018-06-19,9.86,10.19,9.62,9.7,7079,USD
2018-06-20,9.67,10.01,9.55,9.72,12866,USD
2018-06-21,9.73,9.94,9.55,9.67,4596,USD
2018-06-22,9.67,9.9,8.55,8.55,9865,USD
2018-06-23,8.55,9.74,7.98,8.49,12438,USD
2018-06-24,8.49,9.45,7.3,8.14,13144,USD
2018-06-25,8.14,8.61,7.82,8.6,4132,USD
2018-06-26,8.53,8.76,8.0,8.51,2670,USD
2018-06-27,8.51,8.79,8.17,8.7,3619,USD
2018-06-28,8.69,8.71,8.35,8.35,1608,USD
2018-06-29,8.35,8.47,8.14,8.38,3557,USD
2018-06-30,8.34,8.79,8.3,8.37,1464,USD
2018-07-01,8.46,8.52,8.06,8.45,7409,USD
2018-07-02,8.45,12.02,8.06,9.81,12064,USD
2018-07-03,9.81,10.77,9.26,9.75,7170,USD
2018-07-04,9.75,10.27,9.54,9.92,5419,USD
2018-07-05,9.92,10.1,9.2,9.34,4440,USD
