Date,Open,High,Low,Close,Volume,Currency
2019-10-11,0.0382,0.0382,0.0353,0.0359,16191800,USD
2019-10-12,0.036,0.0362,0.0347,0.0351,12177526,USD
2019-10-13,0.0351,0.0354,0.0331,0.0332,12078140,USD
2019-10-14,0.0331,0.0382,0.0322,0.0371,37060244,USD
2019-10-15,0.0369,0.0407,0.0358,0.0379,27897520,USD
2019-10-16,0.0379,0.0387,0.0351,0.0374,20718688,USD
2019-10-17,0.0374,0.0374,0.034,0.035,17943592,USD
2019-10-18,0.0351,0.036,0.0334,0.0338,14860775,USD
2019-10-19,0.0338,0.0343,0.033,0.0335,10223850,USD
2019-10-20,0.0336,0.0339,0.0326,0.0331,13050294,USD
2019-10-21,0.0331,0.0345,0.033,0.0333,9461422,USD
2019-10-22,0.0333,0.0334,0.0315,0.0315,14134056,USD
2019-10-23,0.0315,0.0316,0.0272,0.0279,19552298,USD
2019-10-24,0.0279,0.0297,0.0268,0.0285,11308040,USD
2019-10-25,0.0285,0.0311,0.0282,0.0307,23546068,USD
2019-10-26,0.0308,0.0333,0.029,0.0305,20912804,USD
2019-10-27,0.0305,0.0323,0.0292,0.0319,13327463,USD
2019-10-28,0.0319,0.0333,0.0304,0.0317,15180744,USD
2019-10-29,0.0318,0.0345,0.0317,0.0341,16679686,USD
2019-10-30,0.0341,0.0341,0.032,0.0327,11906094,USD
2019-10-31,0.0327,0.0336,0.0316,0.0332,10354956,USD
2019-11-01,0.0332,0.035,0.0328,0.0349,12622483,USD
2019-11-02,0.0349,0.035,0.0332,0.0344,12523629,USD
2019-11-03,0.0344,0.037,0.0334,0.0369,13937525,USD
2019-11-04,0.0369,0.0391,0.0356,0.0364,27605206,USD
2019-11-05,0.0364,0.0372,0.0353,0.0364,10579610,USD
2019-11-06,0.0364,0.0364,0.0338,0.0342,13611396,USD
2019-11-07,0.0342,0.0344,0.0319,0.0328,10924956,USD
2019-11-08,0.0328,0.0355,0.0327,0.0329,7715676,USD
2019-11-09,0.0329,0.0392,0.0329,0.0369,10998070,USD
2019-11-10,0.0369,0.0369,0.0348,0.0354,6024541,USD
2019-11-11,0.0354,0.0356,0.0333,0.0346,4752646,USD
2019-11-12,0.0346,0.0356,0.034,0.0352,5055386,USD
