Date,Open,High,Low,Close,Volume,Currency
2018-08-27,2.1699,2.404,2.108,2.404,10424292,USD
2018-08-28,2.404,2.4058,2.2871,2.3681,6733202,USD
2018-08-29,2.3681,2.3761,2.209,2.2827,6612683,USD
2018-08-30,2.2827,2.343,2.0563,2.1451,7977716,USD
2018-08-31,2.1451,2.1651,2.0864,2.1166,4512920,USD
2018-09-01,2.1166,2.277,2.1164,2.2088,4988696,USD
2018-09-02,2.2088,2.2118,2.109,2.1446,3675773,USD
2018-09-03,2.1446,2.1543,2.0793,2.0967,2640536,USD
2018-09-04,2.0944,2.1801,2.0894,2.1079,3160391,USD
2018-09-05,2.1079,2.1291,1.7821,1.7933,7613765,USD
2018-09-06,1.8,1.8189,1.6985,1.7868,5728035,USD
2018-09-07,1.7859,1.82,1.6589,1.6923,4426517,USD
2018-09-08,1.6937,1.713,1.5299,1.5653,3693201,USD
2018-09-09,1.5653,1.6363,1.551,1.5767,3817606,USD
2018-09-10,1.5767,1.7401,1.569,1.68,7327318,USD
2018-09-11,1.683,1.6977,1.54,1.5768,5016162,USD
2018-09-12,1.5768,1.5801,1.4909,1.5686,5590717,USD
2018-09-13,1.5686,1.6317,1.5483,1.5842,6355369,USD
2018-09-14,1.584,1.7145,1.5012,1.675,15009857,USD
2018-09-15,1.675,1.8668,1.66,1.7983,12808063,USD
2018-09-16,1.7983,1.8143,1.7084,1.7901,8250388,USD
2018-09-17,1.7901,1.8096,1.6531,1.6649,5842196,USD
2018-09-18,1.6651,1.7547,1.64,1.7188,4698079,USD
2018-09-19,1.7169,1.749,1.6488,1.7185,3505980,USD
2018-09-20,1.7185,1.7717,1.6894,1.7717,3324346,USD
2018-09-21,1.7703,1.85,1.7358,1.8384,8661590,USD
2018-09-22,1.8365,1.8563,1.742,1.7588,4778016,USD
2018-09-23,1.7588,1.7973,1.735,1.772,3456619,USD
2018-09-24,1.769,1.7751,1.6938,1.7145,3652829,USD
2018-09-25,1.7145,1.7145,1.6259,1.6704,3815191,USD
2018-09-26,1.6724,1.737,1.6435,1.6638,3706600,USD
2018-09-27,1.6638,1.7255,1.6405,1.7218,5009487,USD
2018-09-28,1.7218,1.86,1.71,1.8189,11766236,USD
2018-09-29,1.8189,1.884,1.754,1.8437,7962863,USD
2018-09-30,1.8437,1.9585,1.822,1.9428,8658819,USD
2018-10-01,1.9428,1.9524,1.813,1.8332,6703517,USD
2018-10-02,1.8332,1.8416,1.7808,1.7898,3963321,USD
2018-10-03,1.7923,1.7925,1.7067,1.7671,4317276,USD
2018-10-04,1.7669,1.795,1.757,1.7742,2596238,USD
2018-10-05,1.7744,1.7922,1.755,1.7889,2124626,USD
2018-10-06,1.7889,1.7926,1.7473,1.7767,1636481,USD
2018-10-07,1.7767,1.7841,1.7492,1.7808,1550301,USD
2018-10-08,1.7808,1.8268,1.7604,1.8025,4093033,USD
2018-10-09,1.8016,1.8155,1.7845,1.8132,2005162,USD
2018-10-10,1.8132,1.8141,1.762,1.7862,2760671,USD
2018-10-11,1.7862,1.7869,1.5279,1.5305,7130521,USD
2018-10-12,1.5311,1.61,1.5203,1.5759,3615308,USD
2018-10-13,1.5759,1.6426,1.5719,1.6333,3143407,USD
2018-10-14,1.6327,1.6374,1.5722,1.5806,1649058,USD
2018-10-15,1.5806,1.83,1.5643,1.681,11214172,USD
2018-10-16,1.6803,1.6899,1.652,1.6775,2521010,USD
2018-10-17,1.6775,1.6811,1.647,1.6624,1404390,USD
2018-10-18,1.6623,1.6656,1.6,1.6083,2014773,USD
2018-10-19,1.6083,1.6851,1.6057,1.6452,3296827,USD
2018-10-20,1.6452,1.6629,1.64,1.654,1335099,USD
2018-10-21,1.6538,1.6704,1.6425,1.6426,1304447,USD
2018-10-22,1.6423,1.6612,1.626,1.638,2030043,USD
2018-10-23,1.638,1.6501,1.6165,1.6339,2377058,USD
2018-10-24,1.6339,1.6446,1.6294,1.6363,2073436,USD
2018-10-25,1.6355,1.6408,1.605,1.61,1686483,USD
2018-10-26,1.6101,1.6193,1.5941,1.6084,1616483,USD
2018-10-27,1.6082,1.6131,1.5766,1.5946,1205949,USD
2018-10-28,1.5946,1.6102,1.5751,1.6056,1336060,USD
2018-10-29,1.6065,1.6065,1.49,1.5155,3070989,USD
2018-10-30,1.5155,1.533,1.507,1.5217,1781000,USD
2018-10-31,1.5217,1.5257,1.4872,1.5197,1553405,USD
