Date,Open,High,Low,Close,Volume,Currency
2017-06-14,0.587,0.6101,0.4795,0.5202,8566444,USD
2017-06-15,0.5202,0.5447,0.2912,0.3467,7700470,USD
2017-06-16,0.3467,0.599,0.3053,0.4082,5057322,USD
2017-06-17,0.4082,0.4512,0.4,0.428,1562627,USD
2017-06-18,0.428,0.4502,0.385,0.4056,1925682,USD
2017-06-19,0.4056,0.435,0.395,0.4254,2081943,USD
2017-06-20,0.4254,0.4472,0.411,0.4405,3560891,USD
2017-06-21,0.4405,0.4624,0.415,0.425,3798053,USD
2017-06-22,0.425,0.4499,0.4114,0.4373,1188160,USD
2017-06-23,0.4373,0.4828,0.433,0.4828,2235736,USD
2017-06-24,0.4828,0.6289,0.4767,0.5053,9721362,USD
2017-06-25,0.5053,0.5214,0.4401,0.4653,3872556,USD
2017-06-26,0.4653,0.4659,0.3401,0.408,7793842,USD
2017-06-27,0.408,0.42,0.3483,0.394,3558053,USD
2017-06-28,0.394,0.4,0.3511,0.373,3705380,USD
2017-06-29,0.373,0.4599,0.3619,0.411,4280378,USD
2017-06-30,0.411,0.449,0.393,0.398,2767471,USD
2017-07-01,0.398,0.4129,0.3701,0.3811,1841807,USD
2017-07-02,0.3811,0.39,0.36,0.3769,2489362,USD
2017-07-03,0.3769,0.385,0.35,0.376,4071844,USD
2017-07-04,0.376,0.4098,0.3702,0.3938,3166045,USD
2017-07-05,0.3938,0.3987,0.3681,0.381,2490366,USD
2017-07-06,0.381,0.3851,0.3033,0.3529,12169138,USD
2017-07-07,0.3529,0.3565,0.27,0.2822,13114294,USD
2017-07-08,0.2822,0.3202,0.2751,0.3003,5629901,USD
2017-07-09,0.3003,0.3125,0.2829,0.3,3317364,USD
2017-07-10,0.3,0.3041,0.1837,0.21,24510838,USD
2017-07-11,0.21,0.2342,0.1837,0.1869,16399866,USD
2017-07-12,0.1869,0.2395,0.1806,0.2288,12159981,USD
2017-07-13,0.2288,0.239,0.1875,0.2129,8905018,USD
2017-07-14,0.2129,0.2131,0.1602,0.1751,8425054,USD
2017-07-15,0.1751,0.1763,0.1427,0.1582,15892807,USD
2017-07-16,0.1582,0.188,0.155,0.178,12008854,USD
2017-07-17,0.178,0.28,0.1767,0.264,34683968,USD
2017-07-18,0.264,0.3123,0.246,0.268,25528810,USD
2017-07-19,0.268,0.2849,0.23,0.2314,16186014,USD
2017-07-20,0.2314,0.3043,0.2302,0.2937,21058948,USD
2017-07-21,0.2937,0.3078,0.2452,0.2595,14238291,USD
2017-07-22,0.2595,0.2785,0.2536,0.2716,8047950,USD
2017-07-23,0.2716,0.28,0.2551,0.2649,6522748,USD
2017-07-24,0.2649,0.273,0.2361,0.2674,9483139,USD
2017-07-25,0.2674,0.2688,0.2365,0.25,6394276,USD
2017-07-26,0.25,0.2845,0.2409,0.2744,8460921,USD
2017-07-27,0.2744,0.285,0.2711,0.273,6499032,USD
2017-07-28,0.273,0.2765,0.262,0.2651,3256444,USD
2017-07-29,0.2651,0.278,0.243,0.2767,4794522,USD
2017-07-30,0.2767,0.278,0.2502,0.2547,6274566,USD
2017-07-31,0.2547,0.26,0.244,0.254,3373582,USD
2017-08-01,0.254,0.294,0.2493,0.291,9366267,USD
2017-08-02,0.291,0.2939,0.2715,0.286,6455841,USD
2017-08-03,0.286,0.3392,0.285,0.3319,16724755,USD
2017-08-04,0.3319,0.4217,0.3315,0.3937,30691260,USD
2017-08-05,0.3937,0.4316,0.3601,0.408,14925899,USD
2017-08-06,0.408,0.44,0.395,0.4299,8040204,USD
2017-08-07,0.4299,0.49,0.411,0.474,18018168,USD
2017-08-08,0.474,0.5517,0.4555,0.5481,26959656,USD
2017-08-09,0.5481,0.557,0.5091,0.53,15119476,USD
2017-08-10,0.53,0.5892,0.5069,0.5624,18219956,USD
2017-08-11,0.5624,0.7177,0.5561,0.6547,37205032,USD
2017-08-12,0.6547,0.73,0.6128,0.72,15996499,USD
2017-08-13,0.72,0.83,0.69,0.8043,30453900,USD
2017-08-14,0.8043,0.9797,0.7914,0.972,32469724,USD
2017-08-15,0.972,0.995,0.75,0.917,63886540,USD
2017-08-16,0.917,1.05,0.8633,1.04,31861424,USD
2017-08-17,1.04,1.1,0.99,1.01,33679084,USD
2017-08-18,1.01,1.04,0.7611,0.867,48121848,USD
2017-08-19,0.867,0.9859,0.77,0.9791,28361608,USD
2017-08-20,0.9791,1.03,0.91,0.9101,20246030,USD
2017-08-21,0.9101,0.9408,0.84,0.9001,21349956,USD
2017-08-22,0.9001,0.9046,0.7778,0.838,21386616,USD
2017-08-23,0.838,0.9408,0.8303,0.851,19178236,USD
2017-08-24,0.851,0.8949,0.7959,0.891,11112716,USD
2017-08-25,0.891,0.9349,0.835,0.9164,14215298,USD
2017-08-26,0.9164,0.9749,0.875,0.96,11138445,USD
2017-08-27,0.96,0.9801,0.88,0.9194,10345358,USD
2017-08-28,0.9194,0.929,0.78,0.8744,15031282,USD
2017-08-29,0.8744,0.875,0.7053,0.8125,20470624,USD
2017-08-30,0.8125,0.8765,0.7838,0.8675,12929557,USD
2017-08-31,0.8675,0.9,0.82,0.8415,11618319,USD
2017-09-01,0.8415,0.88,0.771,0.7927,21579964,USD
2017-09-02,0.7927,0.7999,0.64,0.6921,38725268,USD
2017-09-03,0.6921,0.777,0.666,0.7417,30103310,USD
2017-09-04,0.7417,0.7442,0.3633,0.5484,107128168,USD
2017-09-05,0.5484,0.6499,0.455,0.6132,57225552,USD
2017-09-06,0.6132,0.7488,0.592,0.7394,32560280,USD
2017-09-07,0.7394,0.74,0.6141,0.6479,34255072,USD
2017-09-08,0.6479,0.66,0.4786,0.5373,67661672,USD
2017-09-09,0.5373,0.584,0.5183,0.5594,20952624,USD
2017-09-10,0.5594,0.569,0.4588,0.4989,54666964,USD
2017-09-11,0.4989,0.569,0.479,0.5628,29780550,USD
2017-09-12,0.5628,0.6495,0.5408,0.5918,64204228,USD
2017-09-13,0.5918,0.5979,0.4714,0.5613,48812400,USD
2017-09-14,0.5613,0.576,0.441,0.4494,53569016,USD
2017-09-15,0.4494,0.5127,0.37,0.4797,80119224,USD
2017-09-16,0.4797,0.5128,0.452,0.4848,24597132,USD
2017-09-17,0.4848,0.5048,0.461,0.4958,12100483,USD
2017-09-18,0.4958,0.6171,0.4934,0.6075,42159968,USD
2017-09-19,0.6075,0.6145,0.5521,0.5585,20212492,USD
2017-09-20,0.5585,0.5911,0.541,0.5674,12863068,USD
2017-09-21,0.5674,0.5728,0.4653,0.4985,29151086,USD
2017-09-22,0.4985,0.5178,0.471,0.505,15373085,USD
2017-09-23,0.505,0.555,0.4935,0.54,12487453,USD
2017-09-24,0.54,0.5424,0.5042,0.5213,12687597,USD
2017-09-25,0.5213,0.569,0.5208,0.556,15081777,USD
2017-09-26,0.556,0.56,0.5051,0.5146,16341388,USD
2017-09-27,0.5146,0.5544,0.505,0.5509,17713946,USD
2017-09-28,0.5509,0.6147,0.5261,0.5951,29473302,USD
2017-09-29,0.5951,0.6103,0.541,0.5836,23793848,USD
2017-09-30,0.5836,0.6493,0.576,0.6223,28213184,USD
2017-10-01,0.6223,0.6318,0.591,0.6124,10690550,USD
2017-10-02,0.6124,0.6225,0.5638,0.578,16974668,USD
2017-10-03,0.578,0.582,0.512,0.5606,17488492,USD
2017-10-04,0.5606,0.5697,0.515,0.5447,10797914,USD
2017-10-05,0.5447,0.5681,0.5161,0.5424,8766474,USD
2017-10-06,0.5424,0.5632,0.4874,0.504,14212935,USD
2017-10-07,0.504,0.551,0.486,0.5369,11268870,USD
2017-10-08,0.5369,0.54,0.493,0.5,11352674,USD
2017-10-09,0.5,0.505,0.433,0.469,24763404,USD
2017-10-10,0.469,0.4896,0.451,0.476,7852583,USD
2017-10-11,0.476,0.4889,0.462,0.4816,6967841,USD
2017-10-12,0.4816,0.4867,0.38,0.414,21972654,USD
2017-10-13,0.414,0.4476,0.4,0.44,16589906,USD
2017-10-14,0.44,0.4845,0.4293,0.4591,15754730,USD
2017-10-15,0.4591,0.461,0.41,0.437,11387965,USD
2017-10-16,0.437,0.4597,0.42,0.4489,8913696,USD
2017-10-17,0.4489,0.507,0.4311,0.4686,13686309,USD
2017-10-18,0.4686,0.479,0.425,0.4543,14731329,USD
2017-10-19,0.4543,0.4677,0.41,0.4327,12312871,USD
2017-10-20,0.4327,0.4345,0.3857,0.3999,21939202,USD
2017-10-21,0.3999,0.4065,0.3193,0.3882,30106276,USD
2017-10-22,0.3882,0.408,0.3761,0.3822,13305184,USD
2017-10-23,0.3822,0.394,0.34,0.388,18279588,USD
2017-10-24,0.388,0.5059,0.3701,0.455,71380800,USD
2017-10-25,0.455,0.4769,0.4271,0.4434,18252788,USD
2017-10-26,0.4434,0.457,0.4115,0.4155,13143148,USD
2017-10-27,0.4155,0.44,0.39,0.4249,13101987,USD
2017-10-28,0.4249,0.4309,0.391,0.3961,10095480,USD
2017-10-29,0.3961,0.415,0.367,0.4032,22595780,USD
2017-10-30,0.4032,0.415,0.3851,0.4073,11574990,USD
2017-10-31,0.4073,0.4087,0.3891,0.3912,10674039,USD
2017-11-01,0.3912,0.3923,0.3517,0.3637,16255686,USD
2017-11-02,0.3637,0.3847,0.32,0.3642,32349740,USD
2017-11-03,0.3642,0.3967,0.3588,0.3937,17865676,USD
2017-11-04,0.3937,0.3937,0.3649,0.3695,10670204,USD
2017-11-05,0.3695,0.371,0.335,0.3506,17298244,USD
2017-11-06,0.3506,0.3795,0.3387,0.374,16361021,USD
2017-11-07,0.374,0.398,0.3621,0.3824,22465024,USD
2017-11-08,0.3824,0.4905,0.38,0.4746,62429124,USD
2017-11-09,0.4746,0.5999,0.464,0.5338,99342424,USD
2017-11-10,0.5338,0.564,0.455,0.5011,72364592,USD
2017-11-11,0.5011,0.6249,0.4939,0.6237,34898616,USD
2017-11-12,0.6237,0.635,0.505,0.5861,38251404,USD
2017-11-13,0.5861,0.6394,0.5673,0.5835,33073186,USD
2017-11-14,0.5835,0.6189,0.525,0.6059,31467940,USD
2017-11-15,0.6059,0.7873,0.6,0.787,53367476,USD
2017-11-16,0.787,0.8967,0.706,0.825,66163996,USD
2017-11-17,0.825,0.8777,0.7263,0.7912,57100944,USD
2017-11-18,0.7912,0.849,0.7499,0.8163,32843600,USD
2017-11-19,0.8163,0.884,0.8047,0.852,29392316,USD
2017-11-20,0.851,0.984,0.85,0.9584,36086132,USD
2017-11-21,0.9584,0.982,0.7463,0.8844,48615580,USD
2017-11-22,0.8844,0.9551,0.8524,0.9009,32447362,USD
2017-11-23,0.9009,0.915,0.779,0.7791,34284172,USD
2017-11-24,0.7791,0.7942,0.668,0.7837,53935920,USD
2017-11-25,0.7837,0.856,0.7051,0.8055,33553156,USD
2017-11-26,0.8055,0.8055,0.8055,0.8055,0,USD
2017-11-27,0.8055,1.1,0.7882,1.04,52890440,USD
2017-11-28,1.04,1.47,1.02,1.45,60241464,USD
2017-11-29,1.45,1.54,1.07,1.24,50124064,USD
2017-11-30,1.24,1.38,1.08,1.31,46480724,USD
2017-12-01,1.31,1.5,1.22,1.44,31611296,USD
2017-12-02,1.44,1.45,1.33,1.45,30557384,USD
2017-12-03,1.45,1.98,1.42,1.84,38468180,USD
2017-12-04,1.84,2.89,1.83,2.63,47257816,USD
2017-12-05,2.63,3.97,2.1,3.74,87907512,USD
2017-12-06,3.74,5.58,3.51,4.35,102729248,USD
2017-12-07,4.35,4.58,3.03,4.04,95058088,USD
2017-12-08,4.04,4.95,3.43,4.95,70596536,USD
2017-12-09,4.95,5.2,4.01,4.53,61084296,USD
2017-12-10,4.53,4.53,3.56,4.01,76641664,USD
2017-12-11,4.04,4.55,4.0,4.22,38166996,USD
2017-12-12,4.22,5.03,4.13,4.73,44607596,USD
2017-12-13,4.73,4.78,3.63,4.05,52820612,USD
2017-12-14,4.05,4.33,3.25,3.7,75432480,USD
2017-12-15,3.7,4.19,3.32,3.9,50028228,USD
2017-12-16,3.9,4.04,3.4,3.59,33562804,USD
2017-12-17,3.59,3.98,3.41,3.76,35581240,USD
2017-12-18,3.76,4.38,3.52,4.16,46875648,USD
2017-12-19,4.16,5.8,3.7,5.32,113859920,USD
2017-12-20,5.32,5.55,4.5,4.87,57627616,USD
2017-12-21,4.87,5.33,4.51,4.74,41072284,USD
2017-12-22,4.74,4.83,1.1,3.38,170477664,USD
2017-12-23,3.38,4.09,3.25,3.56,42229304,USD
2017-12-24,3.56,3.6,2.72,3.42,53245564,USD
2017-12-25,3.42,3.79,3.21,3.45,25969618,USD
2017-12-26,3.45,3.79,3.43,3.77,20989256,USD
2017-12-27,3.77,4.34,3.58,3.71,45122872,USD
2017-12-28,3.71,3.77,3.21,3.65,30367580,USD
2017-12-29,3.65,3.91,3.43,3.65,23203032,USD
2017-12-30,3.65,3.74,2.9,3.24,34687908,USD
2017-12-31,3.24,3.69,3.23,3.51,18025576,USD
2018-01-01,3.51,4.2,3.39,3.9,24147948,USD
2018-01-02,3.9,4.25,3.79,3.98,21854256,USD
2018-01-03,3.98,4.18,3.9,4.13,15248624,USD
2018-01-04,4.13,4.5,3.71,4.1,33277048,USD
2018-01-05,4.1,4.19,3.62,3.76,14461216,USD
2018-01-06,3.76,4.14,3.75,3.99,10442742,USD
2018-01-07,3.99,4.44,3.95,4.08,21363518,USD
2018-01-08,4.0832,4.2009,3.2,3.793,26300996,USD
2018-01-09,3.7929,3.9199,3.4051,3.5295,16691536,USD
2018-01-10,3.5379,3.7627,3.1,3.7355,20594564,USD
2018-01-11,3.7355,3.799,2.98,3.356,25650804,USD
2018-01-12,3.3503,3.6941,3.2206,3.6389,9893107,USD
2018-01-13,3.6389,4.08,3.6357,3.8964,14420685,USD
2018-01-14,3.8964,3.9584,3.5709,3.7187,11532561,USD
2018-01-15,3.7162,3.7744,3.4186,3.4734,7775255,USD
2018-01-16,3.4734,3.4779,1.9347,2.5351,51767752,USD
2018-01-17,2.5574,2.9236,1.9421,2.7,43843192,USD
2018-01-18,2.696,3.02,2.5501,2.71,19634760,USD
2018-01-19,2.71,2.913,2.4,2.6638,17070232,USD
2018-01-20,2.6638,3.141,2.6618,2.99,15324756,USD
2018-01-21,2.9899,2.99,2.61,2.77,13459813,USD
2018-01-22,2.77,2.9111,2.123,2.4596,20932584,USD
2018-01-23,2.4546,2.64193,2.203,2.5099,14446784,USD
2018-01-24,2.5099,2.58,2.3426,2.4595,10903021,USD
2018-01-25,2.46,2.5955,2.33,2.3491,8624657,USD
2018-01-26,2.3488,2.46,2.19,2.3599,11041329,USD
2018-01-27,2.36,2.5,2.342,2.461,6772090,USD
2018-01-28,2.4611,2.5596,2.4412,2.5012,5128691,USD
2018-01-29,2.5012,2.5849,2.3791,2.5604,7374630,USD
2018-01-30,2.56233,2.62168,2.15453,2.21985,17922570,USD
2018-01-31,2.21985,2.34734,2.17535,2.29694,7862904,USD
2018-02-01,2.29694,2.31471,1.72603,1.89377,25798132,USD
2018-02-02,1.89377,1.94318,1.4302,1.80681,33409338,USD
2018-02-03,1.80739,2.0468,1.62092,2.00534,13523469,USD
2018-02-04,2.00534,2.07562,1.60967,1.73602,15754611,USD
2018-02-05,1.73602,1.7756,1.33112,1.44008,24958860,USD
2018-02-06,1.44008,1.71736,1.20011,1.59031,31214580,USD
2018-02-07,1.5905,1.88469,1.51834,1.58697,20240628,USD
2018-02-08,1.58697,1.87239,1.58697,1.76361,11319768,USD
2018-02-09,1.76361,1.98784,1.6635,1.9311,11350950,USD
2018-02-10,1.9311,2.10323,1.73505,1.83273,13276866,USD
2018-02-11,1.83273,1.83466,1.58945,1.6694,10318060,USD
2018-02-12,1.6694,1.90435,1.6694,1.86959,8471218,USD
2018-02-13,1.86959,1.87222,1.72271,1.8103,6339355,USD
2018-02-14,1.8103,2.03678,1.76954,2.02488,10060634,USD
2018-02-15,2.02173,2.16498,1.96402,2.09597,13704633,USD
2018-02-16,2.09609,2.16924,1.96328,2.08674,9348423,USD
2018-02-17,2.08674,2.19863,2.06502,2.18675,7893911,USD
2018-02-18,2.18682,2.19619,1.93143,1.95099,9218476,USD
2018-02-19,1.95256,2.13749,1.94203,2.06651,6486818,USD
2018-02-20,2.0665,2.10864,1.83511,1.88345,9980444,USD
2018-02-21,1.87619,1.91699,1.69003,1.71192,12518985,USD
2018-02-22,1.71192,1.84558,1.54642,1.603,13517364,USD
2018-02-23,1.603,1.797,1.55807,1.7205,8689475,USD
2018-02-24,1.7205,1.78625,1.61955,1.74099,8460732,USD
2018-02-25,1.73872,1.95655,1.7187,1.78925,15545364,USD
2018-02-26,1.7907,1.89515,1.74801,1.8518,8205498,USD
2018-02-27,1.85027,2.07182,1.79137,1.96337,12819968,USD
2018-02-28,1.96098,2.01757,1.83307,1.85089,8593795,USD
2018-03-01,1.84805,2.01589,1.82183,1.96335,7828738,USD
2018-03-02,1.96335,2.0109,1.85527,1.9153,5545222,USD
2018-03-03,1.91524,1.96195,1.83938,1.85838,5305477,USD
2018-03-04,1.85838,1.91232,1.80886,1.89249,5419929,USD
2018-03-05,1.89249,1.90123,1.84104,1.86593,4669972,USD
2018-03-06,1.85948,1.88594,1.62507,1.68945,14998453,USD
2018-03-07,1.68882,1.70995,1.35269,1.52825,22307696,USD
2018-03-08,1.52825,1.53735,1.35502,1.37246,10763690,USD
2018-03-09,1.37177,1.39704,1.17356,1.38178,21721852,USD
2018-03-10,1.38178,1.47416,1.26929,1.2924,11384494,USD
2018-03-11,1.2924,1.43684,1.24745,1.37317,11120518,USD
2018-03-12,1.37317,1.417,1.26425,1.32679,9072779,USD
2018-03-13,1.32906,1.34303,1.27099,1.30106,5091535,USD
2018-03-14,1.30106,1.36579,1.09398,1.11282,15787300,USD
2018-03-15,1.11282,1.14831,1.03119,1.08506,15269542,USD
2018-03-16,1.08504,1.14466,1.02125,1.09093,9127894,USD
2018-03-17,1.09093,1.14745,1.06133,1.1322,11463565,USD
2018-03-18,1.1322,1.30345,1.0496,1.22294,31630388,USD
2018-03-19,1.22649,1.33649,1.17922,1.32312,15722621,USD
2018-03-20,1.3233,1.51825,1.28557,1.44421,17453632,USD
2018-03-21,1.43689,1.50073,1.33484,1.36427,13150491,USD
2018-03-22,1.36427,1.41489,1.26049,1.31631,8463656,USD
2018-03-23,1.31631,1.35619,1.24736,1.35619,7344900,USD
2018-03-24,1.35619,1.41093,1.31097,1.3208,6210662,USD
2018-03-25,1.31796,1.361,1.26509,1.31762,5553815,USD
2018-03-26,1.31762,1.32581,1.17878,1.22717,8859345,USD
2018-03-27,1.22717,1.23572,1.14485,1.16907,7795787,USD
2018-03-28,1.16907,1.24025,1.15656,1.18039,5169161,USD
2018-03-29,1.18039,1.18966,1.05952,1.08621,13465177,USD
2018-03-30,1.08621,1.137,1.04514,1.10536,11397728,USD
2018-03-31,1.10536,1.15628,1.06433,1.07138,8353842,USD
2018-04-01,1.07138,1.09198,0.94617,0.98924,13421924,USD
2018-04-02,0.98924,1.06131,0.98283,1.02684,7440372,USD
2018-04-03,1.02684,1.11597,1.02684,1.10324,7402567,USD
2018-04-04,1.10324,1.1081,0.95757,0.9823,8782179,USD
2018-04-05,0.9823,0.99201,0.92782,0.97271,7114570,USD
2018-04-06,0.97267,0.99277,0.91868,0.93071,5237073,USD
2018-04-07,0.93071,1.0198,0.92651,0.98024,5450293,USD
2018-04-08,0.98024,1.04791,0.97215,1.02113,6234607,USD
