Date,Open,High,Low,Close,Volume,Currency
2020-11-06,30.133,33.018,30.133,33.001,89636,USD
2020-11-07,32.891,34.887,31.104,31.314,118736,USD
2020-11-08,31.314,33.22,31.124,32.895,47771,USD
2020-11-09,32.967,34.079,32.518,33.015,70337,USD
2020-11-10,33.015,35.681,32.74,35.192,93761,USD
2020-11-11,35.25,36.567,35.25,35.607,130775,USD
2020-11-12,35.607,38.153,35.422,38.153,101750,USD
2020-11-13,38.155,38.816,37.648,38.565,64347,USD
2020-11-14,38.641,38.641,36.055,37.054,66854,USD
2020-11-15,36.954,37.609,34.352,35.411,74799,USD
2020-11-16,35.411,36.792,34.743,36.183,60083,USD
2020-11-17,36.183,38.399,36.061,38.146,79200,USD
2020-11-18,38.112,38.112,35.027,35.642,80932,USD
2020-11-19,35.642,36.473,34.718,35.233,69501,USD
2020-11-20,35.314,38.99,35.314,37.753,127679,USD
2020-11-21,37.753,40.631,37.753,40.631,107440,USD
2020-11-22,40.612,40.612,38.424,38.579,77078,USD
2020-11-23,38.781,40.7,38.413,40.371,60879,USD
2020-11-24,40.415,52.033,40.415,48.411,354808,USD
2020-11-25,48.268,48.334,42.178,42.178,139305,USD
2020-11-26,41.982,49.512,41.982,49.093,333495,USD
2020-11-27,49.128,49.128,44.004,45.378,125286,USD
2020-11-28,45.341,46.18,43.544,45.23,82742,USD
2020-11-29,45.28,53.07,45.28,53.07,163534,USD
2020-11-30,54.3,54.3,50.384,52.123,137048,USD
2020-12-01,52.123,55.495,51.683,54.166,124503,USD
2020-12-02,53.748,63.729,53.748,61.876,220035,USD
2020-12-03,61.815,62.074,59.0,59.14,167283,USD
2020-12-04,58.666,58.666,50.793,50.793,221909,USD
2020-12-05,50.709,55.852,50.709,55.805,124964,USD
2020-12-06,55.75,55.75,52.33,52.361,67287,USD
2020-12-07,52.416,53.765,51.823,53.421,52200,USD
2020-12-08,53.589,53.589,46.376,46.376,136683,USD
2020-12-09,46.293,50.135,45.963,48.95,139690,USD
2020-12-10,49.272,49.272,46.832,47.051,76243,USD
2020-12-11,47.177,47.177,44.826,44.924,74122,USD
2020-12-12,45.005,48.526,45.005,48.21,55233,USD
2020-12-13,48.178,52.042,47.835,50.766,75891,USD
2020-12-14,50.833,51.139,49.2,50.414,59800,USD
2020-12-15,50.417,57.417,49.883,56.743,112498,USD
2020-12-16,56.833,57.873,55.865,57.219,125971,USD
2020-12-17,57.269,61.564,57.115,58.13,149386,USD
2020-12-18,58.128,58.56,56.504,57.47,83779,USD
2020-12-19,57.47,58.34,55.796,55.928,68018,USD
2020-12-20,55.795,56.84,53.607,53.607,71872,USD
2020-12-21,53.607,54.033,49.473,49.473,94651,USD
2020-12-22,49.835,54.131,49.55,54.131,67955,USD
2020-12-23,54.157,54.223,47.715,47.715,105433,USD
2020-12-24,47.596,52.618,46.651,52.304,88038,USD
2020-12-25,52.386,52.386,48.983,50.066,58062,USD
2020-12-26,50.066,50.066,47.465,47.816,51615,USD
2020-12-27,47.716,50.19,47.65,50.19,95189,USD
2020-12-28,50.227,58.402,50.227,58.402,142616,USD
2020-12-29,58.257,61.644,54.569,61.644,202457,USD
2020-12-30,62.487,63.113,60.426,62.041,140011,USD
2020-12-31,61.948,72.095,60.567,72.095,266180,USD
2021-01-01,71.858,71.858,68.155,69.592,150301,USD
2021-01-02,69.59,72.0,66.823,69.254,133933,USD
2021-01-03,69.346,72.569,67.807,72.569,157928,USD
2021-01-04,72.917,72.917,65.232,68.552,290113,USD
2021-01-05,68.534,70.626,63.487,67.916,153438,USD
2021-01-06,68.069,75.54,67.16,75.54,176263,USD
2021-01-07,75.941,75.941,68.947,68.947,221186,USD
2021-01-08,69.15,70.081,66.458,68.787,113292,USD
2021-01-09,68.787,69.38,66.43,68.879,79402,USD
2021-01-10,69.482,74.366,66.56,71.07,167337,USD
2021-01-11,71.256,71.256,59.13,64.329,185299,USD
2021-01-12,64.2,67.234,62.786,62.786,95015,USD
2021-01-13,62.786,76.964,62.753,76.964,269679,USD
2021-01-14,77.0,88.7,77.0,88.7,216343,USD
2021-01-15,88.972,88.972,79.154,83.707,179898,USD
2021-01-16,83.893,102.99,83.357,102.99,266950,USD
2021-01-17,102.274,104.593,96.2,102.308,219345,USD
2021-01-18,102.564,117.0,102.564,109.092,298271,USD
2021-01-19,109.683,110.05,99.477,101.677,122110,USD
2021-01-20,101.0,106.124,92.522,106.0,154855,USD
2021-01-21,106.344,106.344,93.074,93.074,143595,USD
2021-01-22,92.792,104.968,90.876,104.233,141023,USD
2021-01-23,104.433,112.0,104.205,107.682,99578,USD
2021-01-24,107.663,110.947,102.443,103.937,85194,USD
2021-01-25,104.036,106.453,98.571,98.571,80884,USD
2021-01-26,98.82,101.94,95.754,101.94,74672,USD
2021-01-27,101.999,101.999,93.31,95.825,63709,USD
2021-01-28,95.302,113.926,95.302,113.926,107439,USD
2021-01-29,114.103,114.103,103.331,106.856,79397,USD
2021-01-30,106.892,106.892,100.781,100.794,54879,USD
2021-01-31,100.802,104.36,97.051,97.717,61869,USD
2021-02-01,97.421,100.96,96.491,100.96,74806,USD
2021-02-02,100.644,105.441,98.612,104.965,101246,USD
2021-02-03,105.092,119.686,105.092,119.124,167528,USD
2021-02-04,119.588,119.588,114.83,115.937,149558,USD
2021-02-05,115.852,121.8,115.852,121.324,150017,USD
2021-02-06,121.537,121.537,112.761,112.761,100672,USD
2021-02-07,112.512,115.389,105.816,115.389,106061,USD
2021-02-08,115.888,133.133,113.961,132.947,154598,USD
2021-02-09,133.496,138.131,126.852,130.704,115919,USD
2021-02-10,130.838,135.781,125.8,129.286,101491,USD
2021-02-11,129.468,146.221,127.933,142.012,124705,USD
2021-02-12,142.343,159.275,139.797,154.283,91531,USD
2021-02-13,155.231,165.511,155.231,161.517,125268,USD
2021-02-14,162.196,162.196,148.87,157.417,87265,USD
2021-02-15,159.444,211.207,142.685,190.149,528777,USD
2021-02-16,190.0,213.67,188.196,208.712,314867,USD
2021-02-17,208.719,240.482,204.769,240.482,217735,USD
2021-02-18,240.6,240.6,219.968,222.192,114581,USD
2021-02-19,223.808,237.265,212.604,223.981,177107,USD
2021-02-20,224.684,239.711,222.768,222.768,203951,USD
2021-02-21,221.68,228.819,218.645,223.6,67542,USD
2021-02-22,223.637,277.969,223.637,271.417,470945,USD
2021-02-23,271.044,274.0,221.366,240.766,432841,USD
2021-02-24,240.421,264.318,235.274,242.984,181373,USD
2021-02-25,243.088,251.864,222.777,222.777,123830,USD
2021-02-26,224.991,224.991,200.267,216.669,149964,USD
2021-02-27,216.36,233.377,216.36,229.6,87213,USD
2021-02-28,230.691,230.691,200.73,212.414,137333,USD
2021-03-01,213.241,227.808,211.608,227.808,90627,USD
2021-03-02,228.759,240.601,222.369,240.601,97183,USD
2021-03-03,240.856,254.0,240.365,244.828,93058,USD
2021-03-04,243.683,249.26,234.348,234.348,94911,USD
2021-03-05,234.346,234.346,215.419,227.705,91879,USD
2021-03-06,227.851,228.938,220.252,228.938,53921,USD
2021-03-07,229.112,236.587,226.115,233.491,44611,USD
2021-03-08,233.716,243.864,224.545,243.864,65041,USD
2021-03-09,244.779,290.0,239.173,288.372,143300,USD
2021-03-10,289.535,310.978,274.732,302.958,184575,USD
2021-03-11,304.574,342.624,279.768,329.529,124945,USD
2021-03-12,331.569,333.178,304.277,314.295,94359,USD
2021-03-13,314.0,320.704,309.68,313.673,77964,USD
2021-03-14,313.647,315.981,300.67,300.67,59460,USD
2021-03-15,301.0,322.71,287.323,310.2,112369,USD
2021-03-16,310.889,325.5,300.151,318.234,103242,USD
2021-03-17,318.756,345.112,314.392,345.112,77035,USD
2021-03-18,346.08,383.024,346.08,367.373,163678,USD
2021-03-19,367.787,411.289,367.787,383.9,132436,USD
2021-03-20,383.895,408.782,383.895,389.144,73892,USD
2021-03-21,388.258,413.0,386.373,399.864,82414,USD
2021-03-22,400.016,447.559,400.016,436.891,129540,USD
2021-03-23,438.248,451.514,418.0,422.469,101318,USD
2021-03-24,421.181,476.243,421.181,423.667,152142,USD
2021-03-25,421.79,427.227,383.002,410.096,213284,USD
2021-03-26,410.953,454.412,410.953,454.412,101810,USD
2021-03-27,454.849,500.809,450.283,468.281,173744,USD
2021-03-28,471.295,516.853,471.295,510.905,115037,USD
2021-03-29,511.448,566.14,511.448,547.589,164400,USD
2021-03-30,547.312,549.012,524.68,539.795,86942,USD
2021-03-31,538.0,553.034,482.115,497.764,142698,USD
2021-04-01,496.254,496.254,454.507,463.011,198397,USD
2021-04-02,463.673,463.673,426.547,448.893,198133,USD
2021-04-03,449.063,492.161,430.0,439.601,185840,USD
2021-04-04,436.054,454.516,436.054,446.487,77852,USD
2021-04-05,444.657,463.9,432.5,460.512,112827,USD
2021-04-06,461.786,463.868,431.017,440.617,127086,USD
2021-04-07,441.683,466.572,409.796,427.079,165916,USD
2021-04-08,429.241,461.419,429.241,461.419,94267,USD
2021-04-09,461.211,463.386,445.301,451.53,59212,USD
2021-04-10,451.902,454.109,443.952,448.4,55285,USD
2021-04-11,449.951,449.951,436.771,438.227,42884,USD
2021-04-12,439.905,439.905,416.555,422.112,87769,USD
2021-04-13,424.014,434.178,413.362,431.602,68149,USD
2021-04-14,433.903,474.901,426.631,455.279,164602,USD
2021-04-15,456.989,476.782,456.989,476.782,100052,USD
2021-04-16,478.326,478.326,438.567,446.543,100638,USD
2021-04-17,447.268,479.62,447.268,456.2,94174,USD
2021-04-18,456.316,456.316,377.399,405.803,165717,USD
2021-04-19,406.46,415.475,364.453,368.349,113036,USD
2021-04-20,368.999,384.415,333.401,384.415,180462,USD
2021-04-21,383.711,383.711,349.429,349.429,92119,USD
2021-04-22,353.004,379.076,349.732,349.732,112960,USD
2021-04-23,348.038,349.426,313.904,336.819,179079,USD
2021-04-24,336.463,336.463,302.403,302.403,70048,USD
2021-04-25,304.09,327.7,304.09,318.23,61141,USD
2021-04-26,319.74,396.44,319.74,395.71,110090,USD
2021-04-27,394.76,407.33,384.94,396.72,93725,USD
2021-04-28,397.22,402.41,383.8,393.85,71482,USD
2021-04-29,394.48,394.48,372.99,386.5,63402,USD
2021-04-30,386.74,408.7,386.39,406.11,66514,USD
2021-05-01,405.63,422.49,402.82,421.55,59238,USD
2021-05-02,421.87,431.34,401.47,415.78,82151,USD
2021-05-03,413.75,426.59,413.04,424.42,68034,USD
2021-05-04,424.78,431.69,387.03,401.66,108497,USD
2021-05-05,395.73,428.02,395.73,428.02,55535,USD
2021-05-06,428.56,447.84,419.6,447.84,115308,USD
2021-05-07,448.33,453.45,424.16,431.0,85657,USD
2021-05-08,430.99,459.88,430.94,433.93,73411,USD
2021-05-09,433.6,454.64,429.7,450.37,60403,USD
2021-05-10,451.2,458.45,392.57,412.14,95478,USD
2021-05-11,407.79,439.82,392.13,439.82,74955,USD
2021-05-12,440.26,513.13,439.33,452.66,316132,USD
2021-05-13,460.96,557.98,460.96,529.18,607661,USD
2021-05-14,527.92,595.29,512.55,595.29,274136,USD
2021-05-15,597.69,610.51,540.18,545.4,233074,USD
2021-05-16,546.84,593.4,501.94,543.21,208267,USD
2021-05-17,541.79,589.28,498.32,574.71,331679,USD
2021-05-18,571.7,612.13,562.25,592.88,251248,USD
2021-05-19,595.6,595.6,339.07,339.07,599149,USD
2021-05-20,345.26,423.94,324.95,387.97,499879,USD
2021-05-21,389.0,414.92,300.51,339.41,485569,USD
2021-05-22,335.73,340.77,299.98,314.5,223683,USD
2021-05-23,314.65,324.59,217.8,261.37,445990,USD
2021-05-24,262.93,348.4,259.05,348.4,341651,USD
2021-05-25,347.48,361.0,294.9,321.49,358178,USD
2021-05-26,323.02,354.98,316.74,342.51,246216,USD
2021-05-27,342.5,342.5,308.35,314.59,178180,USD
2021-05-28,314.16,325.62,276.82,289.07,248435,USD
2021-05-29,289.13,297.47,263.98,297.46,141266,USD
2021-05-30,296.02,313.0,279.96,311.57,170842,USD
