Date,Open,High,Low,Close,Volume,Currency
2017-09-08,31.15,31.39,22.32,25.89,1300904,USD
2017-09-09,25.89,25.92,22.18,22.6,585680,USD
2017-09-10,22.6,25.4,19.53,23.81,758208,USD
2017-09-11,23.81,24.5,21.51,22.05,351036,USD
2017-09-12,22.05,23.8,19.88,21.0,647790,USD
2017-09-13,21.0,21.4,17.53,20.09,629024,USD
2017-09-14,20.09,20.99,14.7,15.72,747292,USD
2017-09-15,15.72,19.33,13.19,18.53,1054385,USD
2017-09-16,18.53,23.2,18.25,20.35,778725,USD
2017-09-17,20.35,20.5,18.2,19.86,270543,USD
2017-09-18,19.86,21.4,19.51,21.22,596838,USD
2017-09-19,21.22,21.92,18.9,19.9,759528,USD
2017-09-20,19.9,20.6,19.51,19.67,334902,USD
2017-09-21,19.67,19.97,16.56,17.43,624901,USD
2017-09-22,17.43,19.5,16.99,18.55,477946,USD
2017-09-23,18.55,20.6,18.17,20.02,393351,USD
2017-09-24,20.02,20.38,19.1,19.55,199377,USD
2017-09-25,19.55,27.4,19.55,25.9,2622105,USD
2017-09-26,25.9,27.36,24.38,26.4,2304738,USD
2017-09-27,26.4,34.01,26.4,31.87,5119840,USD
2017-09-28,31.87,32.8,27.61,29.91,3297492,USD
2017-09-29,29.91,30.5,26.08,28.62,2673810,USD
2017-09-30,28.62,34.49,28.46,34.3,3005658,USD
2017-10-01,34.3,36.0,31.85,35.63,2380620,USD
2017-10-02,35.63,38.94,34.56,36.58,3807932,USD
2017-10-03,36.58,36.88,31.9,33.55,2744262,USD
2017-10-04,33.55,35.24,30.1,31.15,2185555,USD
2017-10-05,31.15,33.68,28.76,32.2,2863155,USD
2017-10-06,32.2,34.49,32.0,33.45,1624102,USD
2017-10-07,33.45,36.37,33.05,35.88,1149790,USD
2017-10-08,35.88,37.23,31.01,32.13,3347164,USD
2017-10-09,32.13,33.0,26.59,28.95,3400804,USD
2017-10-10,28.95,31.52,28.0,29.36,1365663,USD
2017-10-11,29.36,31.31,29.32,30.01,860059,USD
2017-10-12,30.01,30.48,27.5,28.25,1453694,USD
2017-10-13,28.25,29.85,26.62,29.31,1997917,USD
2017-10-14,29.31,29.65,27.57,27.69,675123,USD
2017-10-15,27.69,28.4,27.0,27.9,795810,USD
2017-10-16,27.9,29.08,27.0,28.54,1000617,USD
2017-10-17,28.54,32.78,27.67,31.66,2241620,USD
2017-10-18,31.66,31.75,28.22,29.67,1506556,USD
2017-10-19,29.67,30.08,28.48,28.77,625548,USD
2017-10-20,28.77,29.65,27.67,27.68,879569,USD
