Date,Open,High,Low,Close,Volume,Currency
2020-12-16,2.716,2.897,2.669,2.846,19876004,USD
2020-12-17,2.851,2.919,2.683,2.683,13595355,USD
2020-12-18,2.679,2.824,2.663,2.824,8618261,USD
2020-12-19,2.826,2.996,2.822,2.865,13058667,USD
2020-12-20,2.865,2.875,2.697,2.703,9014155,USD
2020-12-21,2.698,2.724,2.463,2.502,11064402,USD
2020-12-22,2.508,2.726,2.354,2.726,14920948,USD
2020-12-23,2.718,2.749,2.222,2.222,24638858,USD
2020-12-24,2.239,2.586,1.991,2.586,21435088,USD
2020-12-25,2.594,2.608,2.42,2.531,10552499,USD
2020-12-26,2.529,2.529,2.331,2.388,9460129,USD
2020-12-27,2.392,2.649,2.392,2.623,16390516,USD
2020-12-28,2.627,2.836,2.579,2.621,14526873,USD
2020-12-29,2.62,2.62,2.439,2.508,11277164,USD
2020-12-30,2.508,2.634,2.412,2.573,10371795,USD
2020-12-31,2.59,2.867,2.478,2.867,11502042,USD
2021-01-01,2.864,3.333,2.836,3.333,16960868,USD
2021-01-02,3.335,3.335,3.132,3.199,14230160,USD
2021-01-03,3.201,3.461,3.02,3.437,16069183,USD
2021-01-04,3.46,4.017,3.312,3.574,21249672,USD
2021-01-05,3.569,3.956,3.257,3.853,19029048,USD
2021-01-06,3.875,4.024,3.603,3.882,12534769,USD
2021-01-07,3.897,4.16,3.763,3.95,14626941,USD
2021-01-08,3.963,4.318,3.64,4.292,17552048,USD
2021-01-09,4.294,4.877,4.226,4.662,15190024,USD
2021-01-10,4.678,4.795,4.115,4.392,9918782,USD
2021-01-11,4.391,4.391,3.238,3.88,16777352,USD
2021-01-12,3.883,4.409,3.808,4.277,13910574,USD
2021-01-13,4.27,5.124,4.24,5.124,13950329,USD
2021-01-14,5.123,5.687,5.123,5.687,13408185,USD
2021-01-15,5.699,6.592,5.585,6.403,19940688,USD
2021-01-16,6.431,7.3,6.174,7.134,14646161,USD
2021-01-17,7.141,7.577,6.829,7.056,11747866,USD
2021-01-18,7.085,7.596,6.926,7.477,10182210,USD
2021-01-19,7.493,7.529,6.559,6.559,9702136,USD
2021-01-20,6.526,7.294,6.252,7.294,10453889,USD
2021-01-21,7.3,7.3,5.576,5.623,13130490,USD
2021-01-22,5.603,6.977,5.603,6.74,10058873,USD
2021-01-23,6.727,7.35,6.727,7.067,6630432,USD
2021-01-24,7.076,8.405,7.076,8.327,10424556,USD
2021-01-25,8.298,9.141,7.603,7.603,17361736,USD
2021-01-26,7.601,8.157,7.085,8.157,17926342,USD
2021-01-27,8.156,8.156,7.105,7.105,12307822,USD
2021-01-28,7.061,8.41,7.061,8.241,13086662,USD
2021-01-29,8.264,8.987,7.989,8.987,11714669,USD
2021-01-30,8.97,10.369,8.67,10.369,12447325,USD
