Date,Open,High,Low,Close,Volume,Currency
2019-11-20,1.14,1.27,1.13,1.22,64200,USD
2019-11-21,1.22,1.24,1.01,1.08,69159,USD
2019-11-22,1.08,1.25,1.02,1.19,37389,USD
2019-11-23,1.19,1.27,1.13,1.24,29107,USD
2019-11-24,1.24,1.53,1.23,1.5,67116,USD
2019-11-25,1.47,1.5,1.2,1.4,76821,USD
2019-11-26,1.35,1.46,1.3,1.35,37817,USD
2019-11-27,1.34,1.45,1.31,1.43,56805,USD
2019-11-28,1.41,1.55,1.38,1.54,69172,USD
2019-11-29,1.54,1.54,1.33,1.33,25593,USD
2019-11-30,1.33,1.37,1.24,1.37,24362,USD
2019-12-01,1.37,1.37,1.19,1.25,9442,USD
2019-12-02,1.25,1.34,1.08,1.32,36466,USD
2019-12-03,1.32,1.42,1.27,1.37,21982,USD
2019-12-04,1.37,1.4,1.25,1.25,22389,USD
2019-12-05,1.26,1.33,1.14,1.24,15253,USD
2019-12-06,1.24,1.3,1.22,1.24,4097,USD
2019-12-07,1.24,1.4,1.22,1.29,5070,USD
2019-12-08,1.29,1.29,0.97,1.27,23473,USD
2019-12-09,1.27,1.33,1.24,1.28,11687,USD
2019-12-10,1.28,1.34,1.17,1.22,6830,USD
2019-12-11,1.22,1.34,1.19,1.29,14736,USD
2019-12-12,1.29,1.4,1.25,1.38,14355,USD
2019-12-13,1.38,1.4,1.3,1.35,6741,USD
2019-12-14,1.35,1.41,1.32,1.4,10218,USD
2019-12-15,1.4,1.4,1.34,1.37,14668,USD
2019-12-16,1.37,1.38,1.28,1.32,31990,USD
2019-12-17,1.32,1.39,1.22,1.26,76953,USD
2019-12-18,1.26,1.39,1.19,1.34,19670,USD
2019-12-19,1.34,1.37,1.27,1.32,17517,USD
2019-12-20,1.32,1.35,1.28,1.29,7490,USD
2019-12-21,1.29,1.32,1.27,1.3,2628,USD
2019-12-22,1.3,1.36,1.28,1.35,5006,USD
2019-12-23,1.35,1.36,1.27,1.28,4146,USD
2019-12-24,1.27,1.35,1.27,1.27,4526,USD
2019-12-25,1.27,1.32,1.27,1.27,733,USD
2019-12-26,1.27,1.33,1.23,1.23,3861,USD
2019-12-27,1.23,1.27,1.22,1.25,1861,USD
2019-12-28,1.25,1.25,1.22,1.22,2917,USD
2019-12-29,1.22,1.29,1.22,1.28,6868,USD
2019-12-30,1.28,1.29,1.19,1.21,3228,USD
2019-12-31,1.21,1.33,1.16,1.21,2765,USD
2020-01-01,1.19,1.24,1.12,1.19,3505,USD
2020-01-02,1.19,1.22,1.1,1.11,3910,USD
2020-01-03,1.11,1.3,1.09,1.16,4634,USD
2020-01-04,1.16,1.17,1.1,1.14,5016,USD
2020-01-05,1.14,1.17,1.11,1.11,4152,USD
2020-01-06,1.11,1.14,0.84,0.93,82936,USD
2020-01-07,0.93,1.05,0.85,1.02,68238,USD
2020-01-08,1.01,1.07,0.9,0.91,55464,USD
2020-01-09,0.91,0.98,0.83,0.86,417145,USD
2020-01-10,0.86,0.91,0.85,0.9,35425,USD
2020-01-11,0.88,0.91,0.77,0.78,33109,USD
2020-01-12,0.78,0.83,0.73,0.8,38974,USD
2020-01-13,0.8,1.08,0.8,1.0,44266,USD
2020-01-14,1.0,1.11,0.94,1.11,47419,USD
2020-01-15,1.1,1.12,0.94,0.95,33080,USD
2020-01-16,0.95,1.05,0.91,0.99,20421,USD
2020-01-17,0.99,1.03,0.97,1.0,7545,USD
2020-01-18,1.0,1.02,0.97,1.01,5809,USD
2020-01-19,1.01,1.05,0.94,0.96,10161,USD
2020-01-20,0.96,1.02,0.94,1.02,13514,USD
2020-01-21,1.02,1.12,1.01,1.08,24427,USD
2020-01-22,1.08,1.16,1.06,1.08,12105,USD
2020-01-23,1.08,1.08,0.99,1.02,8724,USD
2020-01-24,1.02,1.05,0.95,0.95,7505,USD
2020-01-25,0.95,1.01,0.94,1.0,2784,USD
2020-01-26,1.0,1.07,0.99,1.04,2222,USD
2020-01-27,1.04,1.16,1.04,1.15,15050,USD
2020-01-28,1.14,1.24,1.14,1.2,18274,USD
2020-01-29,1.2,1.26,1.03,1.1,11814,USD
2020-01-30,1.1,1.22,1.08,1.21,10865,USD
2020-01-31,1.21,1.21,1.12,1.19,12329,USD
2020-02-01,1.19,1.21,1.15,1.18,947,USD
2020-02-02,1.18,1.2,1.16,1.2,2503,USD
2020-02-03,1.2,1.22,1.1,1.13,13621,USD
2020-02-04,1.13,1.2,1.13,1.18,13688,USD
2020-02-05,1.18,1.19,1.06,1.11,15944,USD
2020-02-06,1.11,1.14,1.08,1.1,51531,USD
2020-02-07,1.1,1.16,0.99,1.01,29056,USD
2020-02-08,1.01,1.05,0.93,1.03,18336,USD
2020-02-09,1.03,1.04,0.84,0.9,47669,USD
2020-02-10,0.9,1.0,0.86,0.99,29413,USD
2020-02-11,0.99,1.05,0.94,1.02,33437,USD
2020-02-12,1.02,1.06,0.9,1.04,83692,USD
2020-02-13,1.04,1.04,0.91,0.92,18149,USD
2020-02-14,0.93,1.04,0.92,0.99,22917,USD
2020-02-15,0.99,1.03,0.93,0.94,11928,USD
2020-02-16,0.94,0.96,0.86,0.94,22391,USD
2020-02-17,0.94,1.05,0.89,1.0,25531,USD
2020-02-18,1.0,1.03,0.93,0.99,20792,USD
2020-02-19,0.99,1.01,0.89,0.91,14933,USD
2020-02-20,0.91,0.99,0.87,0.97,13476,USD
2020-02-21,0.97,1.01,0.95,1.01,13529,USD
2020-02-22,1.01,1.01,0.96,0.99,15592,USD
2020-02-23,0.99,1.0,0.97,0.99,9695,USD
2020-02-24,0.99,1.01,0.95,0.95,16983,USD
2020-02-25,0.95,0.96,0.84,0.87,30032,USD
2020-02-26,0.87,0.87,0.75,0.78,24965,USD
2020-02-27,0.78,1.0,0.75,0.94,17560,USD
2020-02-28,0.95,0.98,0.85,0.88,18161,USD
2020-02-29,0.88,0.9,0.87,0.87,4173,USD
2020-03-01,0.87,0.9,0.77,0.8,15779,USD
2020-03-02,0.8,0.88,0.79,0.88,6182,USD
2020-03-03,0.88,0.88,0.78,0.79,11718,USD
2020-03-04,0.79,0.83,0.76,0.79,14366,USD
2020-03-05,0.79,0.82,0.75,0.75,13164,USD
2020-03-06,0.75,0.78,0.63,0.73,55101,USD
2020-03-07,0.73,0.75,0.7,0.71,10244,USD
2020-03-08,0.71,0.71,0.6,0.61,11336,USD
2020-03-09,0.61,0.77,0.57,0.75,26107,USD
2020-03-10,0.75,0.78,0.66,0.76,23355,USD
2020-03-11,0.76,0.89,0.71,0.71,58952,USD
2020-03-12,0.71,0.84,0.37,0.38,158420,USD
2020-03-13,0.38,0.59,0.32,0.57,53491,USD
2020-03-14,0.57,0.62,0.46,0.46,24601,USD
2020-03-15,0.46,0.5,0.43,0.45,25436,USD
2020-03-16,0.43,0.44,0.29,0.44,81437,USD
2020-03-17,0.43,0.52,0.41,0.46,18754,USD
2020-03-18,0.46,0.5,0.41,0.42,21770,USD
2020-03-19,0.42,0.5,0.4,0.5,84253,USD
2020-03-20,0.5,0.54,0.44,0.47,21386,USD
2020-03-21,0.47,0.53,0.46,0.48,54526,USD
2020-03-22,0.48,0.53,0.45,0.45,3254,USD
2020-03-23,0.45,0.5,0.43,0.45,15617,USD
2020-03-24,0.45,0.51,0.45,0.48,14955,USD
2020-03-25,0.48,0.65,0.48,0.53,14703,USD
2020-03-26,0.53,0.61,0.47,0.61,12984,USD
2020-03-27,0.6,0.6,0.56,0.56,1303,USD
2020-03-28,0.56,0.56,0.47,0.55,5964,USD
2020-03-29,0.55,0.65,0.49,0.62,13752,USD
2020-03-30,0.55,0.63,0.55,0.6,9521,USD
2020-03-31,0.6,0.62,0.59,0.59,3000,USD
2020-04-01,0.59,0.65,0.56,0.59,9801,USD
2020-04-02,0.59,0.68,0.59,0.67,36849,USD
2020-04-03,0.67,0.71,0.65,0.67,7702,USD
2020-04-04,0.67,0.67,0.64,0.65,5574,USD
2020-04-05,0.65,0.67,0.64,0.66,2128,USD
2020-04-06,0.66,0.77,0.55,0.77,27539,USD
2020-04-07,0.77,0.82,0.75,0.77,29803,USD
2020-04-08,0.77,0.8,0.72,0.74,6937,USD
2020-04-09,0.74,0.75,0.67,0.67,7395,USD
2020-04-10,0.67,0.71,0.64,0.66,5103,USD
2020-04-11,0.66,0.72,0.65,0.66,7683,USD
2020-04-12,0.66,0.74,0.65,0.71,7968,USD
2020-04-13,0.71,0.71,0.66,0.68,1816,USD
2020-04-14,0.68,0.7,0.65,0.67,2319,USD
2020-04-15,0.67,0.68,0.62,0.65,7920,USD
2020-04-16,0.65,0.75,0.65,0.75,52390,USD
2020-04-17,0.75,0.76,0.72,0.75,2686,USD
2020-04-18,0.75,0.79,0.73,0.77,30930,USD
2020-04-19,0.77,0.8,0.73,0.73,13411,USD
2020-04-20,0.73,0.75,0.7,0.71,33732,USD
2020-04-21,0.71,0.72,0.69,0.71,30094,USD
2020-04-22,0.71,0.74,0.71,0.72,4869,USD
2020-04-23,0.72,0.74,0.68,0.7,30749,USD
2020-04-24,0.7,0.71,0.64,0.66,20175,USD
2020-04-25,0.66,0.7,0.63,0.64,17551,USD
2020-04-26,0.64,0.72,0.59,0.68,126855,USD
2020-04-27,0.68,0.8,0.68,0.77,55412,USD
2020-04-28,0.77,0.81,0.74,0.78,27233,USD
2020-04-29,0.78,0.86,0.76,0.84,34119,USD
2020-04-30,0.82,0.84,0.74,0.74,53404,USD
2020-05-01,0.74,0.8,0.74,0.78,37801,USD
2020-05-02,0.78,0.83,0.77,0.82,44485,USD
2020-05-03,0.82,0.84,0.76,0.78,61688,USD
2020-05-04,0.78,0.79,0.74,0.76,30129,USD
2020-05-05,0.76,0.86,0.76,0.84,56776,USD
2020-05-06,0.84,0.91,0.82,0.84,50968,USD
2020-05-07,0.84,0.9,0.83,0.89,29337,USD
2020-05-08,0.89,0.93,0.87,0.9,88953,USD
2020-05-09,0.9,0.91,0.88,0.89,52454,USD
2020-05-10,0.89,0.89,0.78,0.8,97509,USD
2020-05-11,0.8,0.81,0.76,0.78,85798,USD
2020-05-12,0.78,0.82,0.75,0.79,34688,USD
2020-05-13,0.79,0.85,0.75,0.77,17754,USD
2020-05-14,0.77,0.84,0.77,0.82,13615,USD
2020-05-15,0.82,0.84,0.8,0.82,46733,USD
2020-05-16,0.82,0.86,0.81,0.85,13057,USD
2020-05-17,0.85,0.88,0.8,0.82,13456,USD
2020-05-18,0.81,0.87,0.81,0.85,9434,USD
2020-05-19,0.86,0.86,0.81,0.83,8868,USD
2020-05-20,0.84,0.85,0.8,0.81,7037,USD
2020-05-21,0.81,0.82,0.74,0.76,15580,USD
2020-05-22,0.76,0.83,0.75,0.82,7900,USD
2020-05-23,0.81,0.83,0.78,0.8,7430,USD
2020-05-24,0.8,0.83,0.78,0.79,6163,USD
2020-05-25,0.79,0.8,0.77,0.8,10414,USD
2020-05-26,0.8,0.84,0.77,0.79,8192,USD
2020-05-27,0.79,0.8,0.72,0.75,46393,USD
2020-05-28,0.75,0.78,0.72,0.74,55804,USD
