Date,Open,High,Low,Close,Volume,Currency
2020-12-25,0.41046,0.41046,0.34989,0.35831,252000352,USD
2020-12-26,0.35882,0.48338,0.33211,0.48338,540347520,USD
2020-12-27,0.4848,0.4848,0.39459,0.3966,362442144,USD
2020-12-28,0.39678,0.4294,0.38027,0.38048,243540352,USD
2020-12-29,0.38084,0.38084,0.34113,0.37395,158318192,USD
2020-12-30,0.37579,0.38613,0.35641,0.37493,141844576,USD
2020-12-31,0.37465,0.37465,0.34805,0.34996,77718896,USD
2021-01-01,0.35046,0.37084,0.34874,0.362,106540056,USD
2021-01-02,0.36189,0.36189,0.31626,0.32754,84828432,USD
2021-01-03,0.326,0.32991,0.29795,0.29795,153371280,USD
2021-01-04,0.29894,0.33013,0.2969,0.30785,141662976,USD
2021-01-05,0.30907,0.34495,0.29104,0.33841,139043312,USD
2021-01-06,0.34014,0.37482,0.32488,0.36963,218378112,USD
2021-01-07,0.372,0.38707,0.34633,0.34633,196779360,USD
2021-01-08,0.34793,0.34793,0.32311,0.32903,142109904,USD
2021-01-09,0.32857,0.35925,0.32276,0.34849,115582264,USD
2021-01-10,0.35111,0.37513,0.31312,0.32602,125861664,USD
2021-01-11,0.32688,0.32688,0.24156,0.29053,138092176,USD
2021-01-12,0.2916,0.30545,0.27667,0.27762,71616056,USD
2021-01-13,0.27724,0.33182,0.27291,0.32547,107422880,USD
2021-01-14,0.32405,0.35375,0.32405,0.33419,110358424,USD
2021-01-15,0.33428,0.38093,0.3265,0.33861,178458944,USD
2021-01-16,0.33761,0.46807,0.33761,0.46807,279082240,USD
2021-01-17,0.46088,0.553,0.42182,0.52084,306720352,USD
2021-01-18,0.52561,0.64225,0.52561,0.61832,323390912,USD
2021-01-19,0.61769,0.61769,0.53355,0.54084,197886576,USD
2021-01-20,0.53749,0.57099,0.4931,0.52203,138096432,USD
2021-01-21,0.5236,0.54825,0.43617,0.43617,135244480,USD
2021-01-22,0.43619,0.544,0.42085,0.51054,184499040,USD
2021-01-23,0.51167,0.58522,0.51167,0.58522,158707920,USD
2021-01-24,0.58716,0.58716,0.53267,0.55399,125386000,USD
2021-01-25,0.55563,0.57854,0.5289,0.5289,94347688,USD
2021-01-26,0.52888,0.53688,0.49554,0.53688,82797840,USD
2021-01-27,0.537,0.537,0.4828,0.48587,84709688,USD
2021-01-28,0.48401,0.57098,0.48401,0.55665,136137424,USD
2021-01-29,0.55569,0.60351,0.53582,0.55302,206874496,USD
2021-01-30,0.55316,0.65393,0.55316,0.63605,170693600,USD
2021-01-31,0.63604,0.7957,0.62841,0.7957,281661376,USD
2021-02-01,0.79023,0.83363,0.7719,0.78429,180130304,USD
2021-02-02,0.7843,0.80287,0.74066,0.75299,109626624,USD
2021-02-03,0.75584,0.82462,0.73724,0.82462,112353592,USD
2021-02-04,0.82836,0.85674,0.78431,0.81472,118410272,USD
2021-02-05,0.81612,0.96721,0.81612,0.94947,157624544,USD
2021-02-06,0.94875,0.94875,0.85723,0.86585,94922080,USD
2021-02-07,0.8656,0.93578,0.82084,0.91673,111327464,USD
2021-02-08,0.91743,1.02323,0.91743,0.96709,113389552,USD
2021-02-09,0.97131,1.0542,0.96049,1.0542,74679856,USD
2021-02-10,1.05619,1.26848,1.05619,1.26848,169816832,USD
2021-02-11,1.26791,2.02346,1.23942,2.02346,366786336,USD
2021-02-12,2.04262,2.82937,1.90168,2.23787,369575072,USD
2021-02-13,2.26927,2.55484,2.26927,2.33863,102197944,USD
2021-02-14,2.3451,2.38613,2.01467,2.1589,103113424,USD
2021-02-15,2.18425,2.4172,1.76869,2.14671,129212256,USD
2021-02-16,2.13611,2.1988,2.05761,2.06498,59453040,USD
2021-02-17,2.07,2.18334,1.93785,2.18334,70044448,USD
2021-02-18,2.18566,2.29183,2.13494,2.29175,68740008,USD
2021-02-19,2.29697,2.29697,2.13033,2.16052,48303064,USD
2021-02-20,2.16879,2.50965,2.12163,2.29822,110851584,USD
2021-02-21,2.28931,2.32611,2.21673,2.30169,50636976,USD
2021-02-22,2.31,2.31,1.93501,2.02191,99730384,USD
2021-02-23,2.02161,2.02161,1.51262,1.70677,120337696,USD
2021-02-24,1.70757,2.01763,1.688,1.89534,69001168,USD
2021-02-25,1.89434,1.993,1.70929,1.70929,51255420,USD
2021-02-26,1.71979,1.81591,1.57585,1.73206,57254952,USD
2021-02-27,1.73432,1.75515,1.683,1.683,31580216,USD
2021-02-28,1.67482,1.67482,1.47644,1.58578,37864680,USD
2021-03-01,1.59755,1.92594,1.59755,1.92594,46754232,USD
2021-03-02,1.92731,1.94,1.74884,1.82922,49130428,USD
2021-03-03,1.82728,2.0298,1.82389,1.95391,54396604,USD
2021-03-04,1.94456,2.02572,1.83453,1.855,37246864,USD
2021-03-05,1.855,1.86298,1.75601,1.83614,30071916,USD
2021-03-06,1.82841,1.84469,1.77628,1.79484,17096440,USD
2021-03-07,1.79796,1.922,1.79796,1.88,26384564,USD
2021-03-08,1.87839,1.90213,1.82162,1.90213,31928828,USD
2021-03-09,1.90784,2.16761,1.90784,2.11697,64371100,USD
2021-03-10,2.1194,2.1194,2.0015,2.03249,50109688,USD
2021-03-11,2.03508,2.08304,1.90859,1.91075,47746468,USD
2021-03-12,1.91261,1.91261,1.68857,1.73144,54713400,USD
2021-03-13,1.73602,1.85232,1.6924,1.79432,48690712,USD
2021-03-14,1.79355,1.81715,1.73123,1.73638,26722324,USD
2021-03-15,1.73045,1.85136,1.71597,1.71597,36483676,USD
2021-03-16,1.71111,1.71111,1.65287,1.71076,36584376,USD
