Date,Open,High,Low,Close,Volume,Currency
2019-06-27,0.00967,0.00979,0.00856,0.00885,185901808,USD
2019-06-28,0.00881,0.00923,0.00858,0.00901,80333176,USD
2019-06-29,0.00901,0.0095,0.00869,0.00931,96875424,USD
2019-06-30,0.0093,0.01078,0.00858,0.00918,333905600,USD
2019-07-01,0.00918,0.01004,0.00898,0.00961,113791432,USD
2019-07-02,0.00958,0.00965,0.00865,0.00923,84295480,USD
2019-07-03,0.00925,0.0093,0.00878,0.00911,75142704,USD
2019-07-04,0.00921,0.00926,0.00866,0.00871,58409344,USD
2019-07-05,0.00873,0.00886,0.00853,0.00863,43782316,USD
2019-07-06,0.00865,0.01154,0.00863,0.00971,229987680,USD
2019-07-07,0.00971,0.01069,0.00965,0.00975,123451776,USD
2019-07-08,0.00975,0.01002,0.00884,0.00913,102347248,USD
2019-07-09,0.00914,0.0095,0.0089,0.00939,43737504,USD
2019-07-10,0.00935,0.00969,0.00866,0.00889,76514096,USD
2019-07-11,0.00889,0.00901,0.00759,0.00793,51968832,USD
2019-07-12,0.00796,0.0084,0.00777,0.00824,45252420,USD
2019-07-13,0.00825,0.00901,0.00822,0.00863,92583616,USD
2019-07-14,0.00863,0.00878,0.00753,0.00769,51577488,USD
2019-07-15,0.00765,0.0077,0.00671,0.00728,82276424,USD
2019-07-16,0.00732,0.00742,0.00603,0.0061,53593976,USD
2019-07-17,0.0061,0.00705,0.00606,0.00686,59234252,USD
2019-07-18,0.00686,0.00717,0.00658,0.00711,52883576,USD
2019-07-19,0.00711,0.00725,0.00687,0.00719,30676548,USD
2019-07-20,0.00721,0.00744,0.00702,0.00727,44912312,USD
2019-07-21,0.00727,0.0074,0.0069,0.00707,23210902,USD
2019-07-22,0.0071,0.00785,0.0071,0.0075,63190320,USD
2019-07-23,0.00752,0.0081,0.00745,0.00757,91853080,USD
2019-07-24,0.00752,0.00752,0.00706,0.00733,23155244,USD
2019-07-25,0.00734,0.00766,0.00729,0.00748,21578182,USD
2019-07-26,0.00745,0.00783,0.00726,0.00772,32304712,USD
2019-07-27,0.00772,0.00785,0.007,0.00717,25349732,USD
2019-07-28,0.00716,0.00737,0.00702,0.0072,23786100,USD
2019-07-29,0.00725,0.00774,0.00725,0.00743,44653540,USD
2019-07-30,0.00743,0.00753,0.00709,0.00728,46622332,USD
2019-07-31,0.00728,0.00766,0.00721,0.00766,17635586,USD
2019-08-01,0.0077,0.00772,0.00707,0.00722,42592108,USD
2019-08-02,0.00725,0.00727,0.00683,0.00697,28203504,USD
2019-08-03,0.00697,0.00699,0.0066,0.00671,22508568,USD
2019-08-04,0.00671,0.00679,0.00642,0.0065,19339092,USD
2019-08-05,0.0065,0.00656,0.00624,0.00645,33501020,USD
2019-08-06,0.00646,0.00678,0.00613,0.00646,66648456,USD
2019-08-07,0.00649,0.00675,0.00621,0.00635,53994988,USD
2019-08-08,0.00635,0.00675,0.0063,0.00642,45360104,USD
2019-08-09,0.00642,0.0065,0.00606,0.00612,33437960,USD
2019-08-10,0.00644,0.00699,0.0062,0.00655,67979864,USD
2019-08-11,0.00667,0.0073,0.00667,0.00724,112381912,USD
2019-08-12,0.0073,0.0074,0.00705,0.0071,59146832,USD
2019-08-13,0.0071,0.00722,0.00663,0.00675,34618572,USD
2019-08-14,0.00675,0.0068,0.006,0.00603,41698920,USD
2019-08-15,0.00603,0.00609,0.00571,0.00587,18688680,USD
2019-08-16,0.00587,0.0059,0.00558,0.0059,21936252,USD
2019-08-17,0.0059,0.00591,0.0056,0.00574,19624466,USD
2019-08-18,0.00574,0.00586,0.00564,0.00579,18591416,USD
2019-08-19,0.00579,0.00599,0.00574,0.00595,28308664,USD
2019-08-20,0.00595,0.00595,0.0057,0.00578,25281948,USD
2019-08-21,0.00578,0.00584,0.00525,0.0054,39990520,USD
2019-08-22,0.0054,0.00566,0.00525,0.00563,36086656,USD
2019-08-23,0.00563,0.00583,0.00553,0.00575,51052044,USD
2019-08-24,0.00576,0.0059,0.00561,0.00581,25725566,USD
2019-08-25,0.00581,0.00687,0.00581,0.00617,139263104,USD
2019-08-26,0.00627,0.0064,0.00571,0.00586,66905160,USD
2019-08-27,0.00586,0.0059,0.0055,0.00572,46780760,USD
2019-08-28,0.00572,0.00585,0.00483,0.00516,66323632,USD
2019-08-29,0.00516,0.00516,0.00462,0.00485,30581096,USD
2019-08-30,0.00485,0.00488,0.0047,0.00481,27939450,USD
2019-08-31,0.0048,0.00485,0.00467,0.00477,8031597,USD
2019-09-01,0.00478,0.00484,0.00461,0.0047,88372440,USD
2019-09-02,0.0047,0.00475,0.00457,0.00465,33431824,USD
2019-09-03,0.00465,0.00478,0.00457,0.00463,60906260,USD
2019-09-04,0.00463,0.0047,0.00448,0.00457,32339970,USD
2019-09-05,0.00457,0.00472,0.00445,0.00453,35155400,USD
2019-09-06,0.00454,0.0046,0.00433,0.00444,24504820,USD
2019-09-07,0.00444,0.00464,0.00436,0.00464,6935927,USD
2019-09-08,0.0046,0.00475,0.00452,0.00464,54847480,USD
2019-09-09,0.00466,0.0047,0.00445,0.00462,57612128,USD
2019-09-10,0.0046,0.00468,0.00444,0.00448,25838812,USD
2019-09-11,0.00448,0.00455,0.00426,0.00433,23546820,USD
2019-09-12,0.00433,0.00443,0.00402,0.00434,28145536,USD
2019-09-13,0.00434,0.00441,0.00415,0.00434,39214112,USD
2019-09-14,0.00434,0.00443,0.00428,0.0044,7847422,USD
2019-09-15,0.0044,0.00442,0.00425,0.00432,10440312,USD
2019-09-16,0.00432,0.00438,0.00406,0.0043,31446512,USD
2019-09-17,0.0043,0.00441,0.0041,0.00439,49065268,USD
2019-09-18,0.0044,0.00481,0.00434,0.00474,50566816,USD
2019-09-19,0.0047,0.00471,0.00422,0.00459,33084754,USD
2019-09-20,0.00459,0.00461,0.00436,0.00453,47811528,USD
2019-09-21,0.00453,0.00454,0.00435,0.0044,11695792,USD
2019-09-22,0.0044,0.0044,0.00411,0.00423,24315486,USD
2019-09-23,0.00421,0.0044,0.00405,0.00409,23240022,USD
2019-09-24,0.00413,0.00413,0.00303,0.00335,46487296,USD
2019-09-25,0.00336,0.00373,0.00314,0.00342,34497660,USD
2019-09-26,0.00342,0.00365,0.003,0.00319,29575116,USD
2019-09-27,0.00329,0.0037,0.00323,0.00342,41662904,USD
2019-09-28,0.00344,0.00359,0.00339,0.00343,33210168,USD
2019-09-29,0.00343,0.00354,0.00313,0.00327,10371450,USD
2019-09-30,0.00331,0.00332,0.00309,0.00331,20152204,USD
2019-10-01,0.00331,0.00332,0.00319,0.0032,15470434,USD
2019-10-02,0.0032,0.00324,0.0031,0.00321,19103994,USD
2019-10-03,0.00321,0.00332,0.00316,0.00329,26492484,USD
2019-10-04,0.00329,0.00337,0.0032,0.00335,20174954,USD
2019-10-05,0.00335,0.0035,0.00328,0.00341,43426892,USD
2019-10-06,0.0034,0.00363,0.00326,0.00338,40817308,USD
