date,open,high,low,close,volume,currency,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2018-01-30,0.17,0.17,0.14,0.15,530468,USD,-176822.66666666733,530468,,,,,inf,,,1000.0,,,,,,0.0,0.0,,0.18333333333333335,0.12333333333333334,,0.4444444444444442,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.15500000000000003,,0.0,0.0,0.0,,89.07023369565216,89.70837010676156,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-99.82895736059173,,0.0
2018-01-31,0.15,0.15,0.13,0.14,396047,USD,-176822.66666666677,134421,,,-0.07574858539516778,,-555963.8068649169,,,933.3333333333335,,,,,,0.0,0.0,,0.1716666666666667,0.12166666666666667,,0.3666666666666667,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,,0.0,0.0,0.0,,89.07023369565216,89.70837010676156,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-6.666666666666654,-6.8992871486951435,-6.666666666666654
2018-02-01,0.14,0.14,0.11,0.11,987262,USD,-1164084.6666666667,-852841,,,-0.045580605756121474,,-237959.2761904762,,,933.3333333333335,,,,,,0.0,0.0,,0.16444444444444448,0.1111111111111111,,-0.020833333333333193,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.14,,0.0,0.0,0.0,,89.07023369565216,89.70837010676156,,,,,0.17,0.0,1.0,,,,,,,,,,,,,,,,,,,-21.42857142857143,-24.116205681688797,-26.66666666666666
2018-02-02,0.11,0.11,0.08,0.1,1813142,USD,-559703.9999999995,-2665983,,,-0.049637590436932146,,-376387.2337662338,,,933.3333333333335,,,,,,0.0,0.0,,0.15500000000000003,0.09999999999999999,,2.523234146875354e-16,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.125,,0.0,0.0,0.0,,89.07023369565216,89.70837010676156,,,,,0.1688,0.0,0.0,,,,,,,,,,,,,,,,,,,-9.090909090909083,-9.531017980432477,-33.33333333333333
2018-02-03,0.1,0.12,0.09,0.11,1202114,USD,-158999.3333333325,-1463869,,,0.024956035783627827,,-44619.69090909089,,,1026.6666666666667,,,,,,0.0,0.0,,0.15133333333333338,0.09533333333333333,,0.2619047619047618,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.125,,0.0,0.0,0.0,,89.07023369565216,89.70837010676156,,,,,0.165248,0.0,0.0,,,,,,,,,,,,,,,,,,,9.999999999999986,9.531017980432477,-26.66666666666666
2018-02-04,0.11,0.12,0.09,0.09,1041528,USD,-1200527.3333333326,-2505397,,,0.0,,-69157.32727272736,,,840.0,,,,,,0.0,0.0,,0.1477777777777778,0.0911111111111111,,-0.019607843137254766,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.125,,0.0,0.0,0.0,,89.07023369565216,89.70837010676156,,,,,0.16183808,0.0,0.0,,,,,,,,,,,,,,,,,,,-18.181818181818187,-20.067069546215155,-40.0
2018-02-05,0.09,0.09,0.06,0.07,755998,USD,-1452526.6666666653,-3261395,,,-0.11904793398924336,,-357368.2828282828,,,653.3333333333335,,,,,,0.0,0.0,,0.14142857142857146,0.08428571428571428,,-0.2499999999999997,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.115,,0.0,0.0,0.0,,89.07023369565216,89.70837010676156,,,,,0.1585645568,0.0,0.0,,,,,,,,,,,,,,,,,,,-22.22222222222221,-25.131442828090567,-53.33333333333332
2018-02-06,0.07,0.09,0.05,0.09,819464,USD,-633062.6666666653,-2441931,,,-0.024406197221598494,,66133.0158730158,,,653.3333333333335,,,,,,0.0,0.0,,0.13833333333333336,0.07833333333333332,,0.19444444444444442,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.11000000000000001,,0.0,0.0,0.0,,89.07023369565216,89.70837010676156,,,,,0.152650683392,0.0,0.0,,,,,,,,,,,,,,,,,,,28.57142857142856,25.131442828090567,-40.0
2018-02-07,0.09,0.09,0.07,0.08,890847,USD,-633062.6666666653,-3332778,,,0.02245054425731915,,135149.5714285713,,,653.3333333333335,,,,,,0.0,0.0,,0.13407407407407412,0.07629629629629629,,0.06410256410256414,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.11000000000000001,,,0.11000000000000001,,0.0,0.0,0.0,,89.07023369565216,89.70837010676156,,,,,0.14443862872064,0.0,0.0,,,,,,,,,,,,,,,,,,,-11.111111111111105,-11.778303565638337,-46.666666666666664
2018-02-08,0.08,0.09,0.08,0.09,211473,USD,-421589.66666666535,-3121305,,,0.023643680280697747,,-72548.87499999997,,,735.0000000000002,,,,,,0.0,0.0,0.10333333333333332,0.13033333333333336,0.07633333333333334,52.25806451612905,0.2530864197530862,0.0,0.0,,,,,,0.027000000000000003,,,,,,,,,,,,,,,,,,0.1,,,0.11000000000000001,,0.0,0.0,0.0,,89.07023369565216,89.70837010676156,,,,,0.1368835384229888,0.0,0.0,,,,,,,,,,,,,,,,,,0.09,12.5,11.778303565638337,-40.0
