date,open,high,low,close,volume,currency,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2019-12-20,2.0441,2.2001,2.0441,2.1538,1166930,USD,474252.320512821,1166930,,,,,-1051650.2168931721,,,1000.0,,,,,,0.0,0.0,,2.2886666666666664,1.9766666666666666,,0.5677350427350432,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.1220999999999997,,0.0,0.0,0.0,,21.982599860917944,21.16976673387097,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-90.0371575881288,,0.0
2019-12-21,2.1542,2.1561,2.1361,2.1471,318894,USD,506141.72051282454,848036,,,0.15052023556416894,,-1051662.612421924,,,996.8892190546941,,,,,,0.0,0.0,,2.22755,2.0515499999999998,,0.5428977272727282,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.1220999999999997,,0.0,0.0,0.0,,21.982599860917944,21.16976673387097,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.31107809453059243,-0.31156294821189645,-0.31107809453059243
2019-12-22,2.1468,2.2763,2.1368,2.2763,1096769,USD,1602910.7205128246,1944805,,,0.7688743026106695,,65005.17510262111,,,996.8892190546941,,,,,,0.0,0.0,,2.2748,2.0644666666666667,,1.0071315372424725,1.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.1601999999999997,,0.0,0.0,0.0,,21.982599860917944,21.16976673387097,,,,,2.2001,0.0,1.0,,,,,,,,,,,,,,,,,,,6.01741884402216,5.8433223340681355,5.6876218776116705
2019-12-23,2.2763,2.3004,2.171,2.1909,498532,USD,1257713.9106210181,1446273,,,0.7566234464387385,,47293.74785177528,,,959.4889030562446,,,,,,0.0,0.0,,2.293641666666667,2.0711916666666665,,0.5381359106915414,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.17225,,0.0,0.0,0.0,,21.982599860917944,21.16976673387097,,,,2.1368,,1.0,0.0,,,,,,,,,,,,,,,,,,,-3.7517023239467484,-3.823889945916903,1.722536911505257
2019-12-24,2.1909,2.1989,2.1379,2.1605,158819,USD,1216577.1860308528,1287454,,,-2.5848922358156,,-20907.14177362298,,,946.175441623541,,,,,,0.0,0.0,,2.280266666666667,2.0779066666666663,,0.4081504908743492,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.17225,,0.0,0.0,0.0,,21.982599860917944,21.16976673387097,,,,,2.3004,0.0,1.0,,,,,,,,,,,,,,,,,,,-1.387557624720448,-1.3972741922186005,0.31107809453059243
2019-12-25,2.16,2.1656,2.1383,2.1398,149991,USD,1083068.713503381,1137463,,,-0.29940796447786877,,-3640.7862363444783,,,937.1100254506149,,,,,,0.0,0.0,,2.2627555555555556,2.085022222222222,,0.30820205051263017,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.17225,,0.0,0.0,0.0,,21.982599860917944,21.16976673387097,,,,,2.3004,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.9581115482527047,-0.9627309667481598,-0.650013928869897
2019-12-26,2.1398,2.194,2.1388,2.1397,211668,USD,878302.9308946863,925795,,,0.3768354215091529,,-1446.9730448586645,,,937.1100254506149,,,,,,0.0,0.0,,2.255604761904762,2.087490476190476,,0.31055970994788257,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.17225,,0.0,0.0,0.0,,21.982599860917944,21.16976673387097,,,,,2.29715,0.0,0.0,,,,,,,,,,,,,,,,,,,-0.004673333956450865,-0.004673443160108093,-0.6546568855046897
2019-12-27,2.1397,2.1689,2.1394,2.1503,263893,USD,809422.3851319752,1189688,,,-0.1369399718825402,,1297.424867596042,,,937.1100254506149,,,,,,0.0,0.0,,2.24645,2.0919749999999997,,0.3775691859524218,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.17225,,0.0,0.0,0.0,,21.982599860917944,21.16976673387097,,,,,2.293965,0.0,0.0,,,,,,,,,,,,,,,,,,,0.49539655091837,0.49417349984378633,-0.1625034822174687
2019-12-28,2.1503,2.1881,2.1502,2.1793,172586,USD,901862.9075594166,1362274,,,0.3294009942869045,,3634.896227639514,,,949.7483506787542,,,,,,0.0,0.0,,2.242448148148148,2.0967148148148147,,0.566686998068518,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,2.17225,,,2.17225,,0.0,0.0,0.0,,21.982599860917944,21.16976673387097,,,,,2.2908437,0.0,0.0,,,,,,,,,,,,,,,,,,,1.3486490257173411,1.3396357030422412,1.183953941870186
2019-12-29,2.18,2.2433,2.17,2.2099,180375,USD,917857.9621296767,1542649,,,1.5239085239085306,,4860.261920257986,,,949.7483506787542,,,,,,0.0,0.0,2.1733966666666666,2.2463066666666665,2.1004866666666664,6.709313685644133,0.7503314588762431,0.0,0.0,,,,,,0.07290999999999999,,,,,,,,,,,,,,,,,,2.21825,,,2.17225,,0.0,0.0,0.0,,21.982599860917944,21.16976673387097,,,,,2.2877848259999998,0.0,0.0,,,,,,,,,,,,,,,,,,2.2099,1.4041205891800246,1.3943541317493868,2.604698672114414
