date,open,high,low,close,volume,currency,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr
2018-01-30,25.22,25.6,24.21,24.9,9830,USD,-70.7194244604678,9830,,,,,-5222.1886402693635,,,1000.0,,,,,,0.0,0.0,,26.293333333333333,23.513333333333332,,0.4988009592326137,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,24.905,,0.0,0.0,0.0,,27.35451210826211,30.651350594821558,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,-3.318469674413338,,0.0
2018-01-31,24.9,25.54,23.98,25.35,8275,USD,6188.575447334427,18105,,,-2733.53474320244,,-176.65737622374553,,,1018.0722891566268,,,,,,0.0,0.0,,26.405,23.455,,0.6423728813559326,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,24.79,,0.0,0.0,0.0,,27.35451210826211,30.651350594821558,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,1.807228915662673,1.791092656653026,1.807228915662673
2018-02-01,25.35,25.69,23.46,24.04,9034,USD,1853.8758957649052,9071,,,-4566.637148549892,,-317.29756659775177,,,1018.0722891566268,,,,,,0.0,0.0,,26.47888888888889,23.025555555555556,,0.2937580437580434,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,24.575000000000003,,0.0,0.0,0.0,,27.35451210826211,30.651350594821558,,,,,25.6,0.0,1.0,,,,,,,,,,,,,,,,,,,-5.167652859960558,-5.305962037018519,-3.4538152610441797
2018-02-02,24.04,24.7,22.5,24.7,7970,USD,9823.875895764904,17041,,,-26913.425345043943,,-248.03544322906993,,,1046.0226931018585,,,,,,0.0,0.0,,26.400833333333335,22.710833333333333,,0.5390695573622399,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,24.095,,0.0,0.0,0.0,,27.35451210826211,30.651350594821558,,,,,25.69,0.0,0.0,,,,,,,,,,,,,,,,,,,2.7454242928452555,2.708413396692455,-0.8032128514056214
2018-02-03,24.7,25.19,23.53,23.93,7616,USD,5878.237341548023,9425,,,16565.126050420204,,-18.611546208410914,,,1013.413888499088,,,,,,0.0,0.0,,26.296000000000003,22.68,,0.3456858407079643,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,24.095,,0.0,0.0,0.0,,27.35451210826211,30.651350594821558,,,,,25.69,0.0,0.0,,,,,,,,,,,,,,,,,,,-3.1174089068825905,-3.1670341713649464,-3.89558232931726
2018-02-04,23.93,24.69,21.8,22.43,13085,USD,-1501.8837657184222,-3660,,,-24626.289644631266,,-1057.6266262428708,,,1013.413888499088,,,,,,0.0,0.0,,26.223888888888894,22.247222222222224,,0.045962559374126404,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,23.745,,0.0,0.0,0.0,,27.35451210826211,30.651350594821558,,,,,25.5624,0.0,0.0,,,,,,,,,,,,,,,,,,,-6.268282490597576,-6.4733553388165,-9.919678714859437
2018-02-05,22.43,22.43,19.0,20.33,11030,USD,-3978.0062146980245,-14690,,,-78675.43064369903,,-1852.8842110636638,,,918.5334085236941,,,,,,0.0,0.0,,25.90857142857143,21.520000000000003,,-0.2711588541666678,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,22.345,,0.0,0.0,0.0,,27.35451210826211,30.651350594821558,,,,,25.336656,0.0,0.0,,,,,,,,,,,,,,,,,,,-9.36246098974588,-9.830172089186195,-18.35341365461848
2018-02-06,20.33,22.5,16.0,22.39,10665,USD,6326.024554532746,-4025,,,-89287.38865447725,,47.984596116815055,,,1011.6066412614616,,,,,,0.0,0.0,,26.019583333333337,20.554583333333333,,0.3358493443122902,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,20.845,,0.0,0.0,0.0,,27.35451210826211,30.651350594821558,,,,,24.82972352,0.0,0.0,,,,,,,,,,,,,,,,,,,10.132808657156932,9.651680297040821,-10.08032128514056
2018-02-07,22.39,22.73,19.0,19.07,10275,USD,-3563.318609006127,-14300,,,58627.25060827253,,-442.9179129446741,,,861.6051205384579,,,,,,0.0,0.0,,25.794814814814817,20.108148148148146,,-0.18255829099908763,0.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,20.845,,,20.845,,0.0,0.0,0.0,,27.35451210826211,30.651350594821558,,,,,23.946751168000002,0.0,0.0,,,,,,,,,,,,,,,,,,,-14.828048235819569,-16.04980109983356,-23.41365461847389
2018-02-08,19.07,21.61,19.0,20.51,9529,USD,-2066.4258886996004,-4771,,,-15338.440549900315,,-804.0350238759759,,,926.6660210930137,,,,,,0.0,0.0,22.69366666666667,25.513666666666673,19.87366666666667,24.852748931419942,0.1128250591016547,0.0,0.0,,,,,,2.82,,,,,,,,,,,,,,,,,,20.845,,,20.845,,0.0,0.0,0.0,,27.35451210826211,30.651350594821558,,,,,23.1520760512,0.0,0.0,,,,,,,,,,,,,,,,,,20.51,7.551127425275306,7.279615247196158,-17.630522088353406
